Kinase,Score,Rank,Method,Perc,Qrt,group,KinaseFamily,subfamily,hgnc_symbol
GSK3B,-92.959002425244,11,PTM-SEA,0.8765432098765432,4,CMGC,GSK,GSK,GSK3B
CDK7,-121.34561403508772,3,PTM-SEA,0.9753086419753086,4,CMGC,CDK,CDK7,CDK7
CDK9,-49.847368421052636,31,PTM-SEA,0.5555555555555556,3,CMGC,CDK,CDK9,CDK9
RPS6KA3,103.679292868412,7,PTM-SEA,0.9259259259259259,4,AGC,RSK,RSK,RPS6KA3
NEK2,0,53,PTM-SEA,0,1,OTHER,NEK,NEK2,NEK2
DAPK1,116.77791222705106,4,PTM-SEA,0.9629629629629629,4,CAMK,DAPK,DAPK,DAPK1
MAPK10,-61.931578947368415,24,PTM-SEA,0.7160493827160493,3,CMGC,MAPK,JNK,MAPK10
PRKAA2,116.35466867284363,5,PTM-SEA,0.9506172839506173,4,CAMK,CAMKL,AMPK,PRKAA2
SIK1,-62.93859649122807,23,PTM-SEA,0.7283950617283951,3,CAMK,CAMKL,QIK,SIK1
CSNK2A1,88.70544356031408,13,PTM-SEA,0.8518518518518519,4,CMGC,CK2,CK2,CSNK2A1
PRKDC,16.136115892717484,45,PTM-SEA,0.38271604938271603,2,ATYPICAL,PIKK,DNAPK,PRKDC
ATM,0,53,PTM-SEA,0,1,ATYPICAL,PIKK,ATM,ATM
IKBKE,0,53,PTM-SEA,0,1,OTHER,IKK,IKK,IKBKE
AURKB,29.70525973958814,41,PTM-SEA,0.43209876543209874,2,OTHER,AUR,AUR,AURKB
CDK3,0,53,PTM-SEA,0,1,CMGC,CDK,CDC2,CDK3
CDK6,-49.847368421052636,31,PTM-SEA,0.5555555555555556,3,CMGC,CDK,CDK4,CDK6
CDK5,-31.43153480132432,40,PTM-SEA,0.4444444444444444,2,CMGC,CDK,CDK5,CDK5
PRKCE,55.24568965698497,27,PTM-SEA,0.6172839506172839,3,AGC,PKC,ETA,PRKCE
PRKCQ,-38.353134181313,37,PTM-SEA,0.48148148148148145,2,AGC,PKC,DELTA,PRKCQ
PRKCZ,94.20042675157025,10,PTM-SEA,0.8888888888888888,4,AGC,PKC,IOTA,PRKCZ
PRKCD,128.17890186325803,2,PTM-SEA,0.9876543209876543,4,AGC,PKC,DELTA,PRKCD
PRKAA1,16.337478830050337,44,PTM-SEA,0.3950617283950617,2,CAMK,CAMKL,AMPK,PRKAA1
PAK1,41.560813310578766,36,PTM-SEA,0.49382716049382713,2,STE,STE20,PAKA,PAK1
PAK2,136.45087719298243,1,PTM-SEA,1,4,STE,STE20,PAKA,PAK2
PRKG2,3.1769428576682643,52,PTM-SEA,0.2962962962962963,2,AGC,PKG,PKG,PRKG2
ROCK1,-44.3916787715649,34,PTM-SEA,0.5185185185185185,3,AGC,DMPK,ROCK,ROCK1
ATR,73.00742142753646,20,PTM-SEA,0.7654320987654321,4,ATYPICAL,PIKK,ATR,ATR
CAMK2G,0,53,PTM-SEA,0,1,CAMK,CAMK2,CAMK2,CAMK2G
DYRK1A,-10.423398528835008,49,PTM-SEA,0.3333333333333333,2,CMGC,DYRK,DYRK1,DYRK1A
PRKG1,11.077708759840531,48,PTM-SEA,0.345679012345679,2,AGC,PKG,PKG,PRKG1
PRKD1,-4.272196237846218,51,PTM-SEA,0.30864197530864196,2,CAMK,PKD,PKD,PRKD1
RPS6KA2,60.45517574328999,25,PTM-SEA,0.7037037037037037,3,AGC,RSK,RSK,RPS6KA2
RPS6KA1,94.62095730439886,9,PTM-SEA,0.9012345679012346,4,AGC,RSK,RSK,RPS6KA1
PKN1,76.42680282882625,19,PTM-SEA,0.7777777777777778,4,AGC,PKN,PKN,PKN1
MAPK14,0,53,PTM-SEA,0,1,CMGC,MAPK,P38,MAPK14
PIM3,55.24568965698497,27,PTM-SEA,0.6172839506172839,3,CAMK,PIM,PIM,PIM3
BRSK2,0,53,PTM-SEA,0,1,CAMK,CAMKL,BRSK,BRSK2
BRSK1,0,53,PTM-SEA,0,1,CAMK,CAMKL,BRSK,BRSK1
DYRK2,0,53,PTM-SEA,0,1,CMGC,DYRK,DYRK2,DYRK2
PASK,0,53,PTM-SEA,0,1,CAMK,CAMKL,PASK,PASK
PRKD2,0,53,PTM-SEA,0,1,CAMK,PKD,PKD,PRKD2
PLK3,0,53,PTM-SEA,0,1,OTHER,PLK,PLK2,PLK3
NEK6,0,53,PTM-SEA,0,1,OTHER,NEK,NEK6,NEK6
PIM2,83.19483003827284,14,PTM-SEA,0.8395061728395061,4,CAMK,PIM,PIM,PIM2
TBK1,0,53,PTM-SEA,0,1,OTHER,IKK,IKK,TBK1
AKT3,60.015368468087146,26,PTM-SEA,0.6666666666666666,3,AGC,AKT,AKT,AKT3
AAK1,305,267,KEA3,0.08285714285714285,1,OTHER,NAK,BIKE,AAK1
ABL1,57.333333333333336,36,KEA3,0.8914285714285715,4,TK,ABL,ABL,ABL1
ABL2,167.33333333333334,169,KEA3,0.4085714285714286,2,TK,ABL,ABL,ABL2
ACVR1,96,81,KEA3,0.7171428571428572,3,TKL,STKR,TYPE1,ACVR1
ACVR1B,194.5,196,KEA3,0.3142857142857143,2,TKL,STKR,TYPE1,ACVR1B
ACVR2B,213,208,KEA3,0.2742857142857143,2,TKL,STKR,TYPE2,ACVR2B
AKT1,76,56,KEA3,0.82,4,AGC,AKT,AKT,AKT1
AKT2,45.666666666666664,26,KEA3,0.9228571428571428,4,AGC,AKT,AKT,AKT2
AKT3,137,141,KEA3,0.5057142857142857,3,AGC,AKT,AKT,AKT3
ALK,119,114,KEA3,0.5914285714285714,3,TK,ALK,ALK,ALK
ARAF,158,162,KEA3,0.43142857142857144,2,TKL,RAF,RAF,ARAF
ATM,105.33333333333333,93,KEA3,0.6742857142857143,3,ATYPICAL,PIKK,ATM,ATM
ATR,77.33333333333333,58,KEA3,0.8114285714285714,4,ATYPICAL,PIKK,ATR,ATR
AURKA,64.66666666666667,44,KEA3,0.8542857142857143,4,OTHER,AUR,AUR,AURKA
AURKB,76.33333333333333,57,KEA3,0.8171428571428572,4,OTHER,AUR,AUR,AURKB
AURKC,185.5,186,KEA3,0.34285714285714286,2,OTHER,AUR,AUR,AURKC
AXL,152,155,KEA3,0.4542857142857143,2,TK,AXL,AXL,AXL
BLK,261,242,KEA3,0.15428571428571428,1,TK,SRC,SRCB,BLK
BMP2K,327,286,KEA3,0.02857142857142857,1,OTHER,NAK,BIKE,BMP2K
BMPR1A,139.5,143,KEA3,0.5,3,TKL,STKR,TYPE1,BMPR1A
BMPR1B,108,95,KEA3,0.6657142857142857,3,TKL,STKR,TYPE1,BMPR1B
BMPR2,161.5,164,KEA3,0.4228571428571429,2,TKL,STKR,TYPE2,BMPR2
BMX,84.33333333333333,64,KEA3,0.7742857142857142,4,TK,TEC,TEC,BMX
BRAF,155.5,159,KEA3,0.44285714285714284,2,TKL,RAF,RAF,BRAF
BRSK1,129.66666666666666,129,KEA3,0.5428571428571428,3,CAMK,CAMKL,BRSK,BRSK1
BRSK2,312,274,KEA3,0.06285714285714286,1,CAMK,CAMKL,BRSK,BRSK2
BTK,85.33333333333333,67,KEA3,0.7657142857142857,4,TK,TEC,TEC,BTK
BUB1,167,168,KEA3,0.4114285714285714,2,OTHER,BUB,BUB,BUB1
CAMK1,174,175,KEA3,0.38857142857142857,2,CAMK,CAMK1,CAMK1,CAMK1
CAMK1D,236,227,KEA3,0.20285714285714285,1,CAMK,CAMK1,CAMK1,CAMK1D
CAMK2A,49.666666666666664,29,KEA3,0.9142857142857143,4,CAMK,CAMK2,CAMK2,CAMK2A
CAMK2B,177,179,KEA3,0.37714285714285717,2,CAMK,CAMK2,CAMK2,CAMK2B
CAMK2D,91.66666666666667,73,KEA3,0.7485714285714286,3,CAMK,CAMK2,CAMK2,CAMK2D
CAMK2G,44,24,KEA3,0.9314285714285714,4,CAMK,CAMK2,CAMK2,CAMK2G
CAMK4,85.66666666666667,68,KEA3,0.7628571428571429,4,CAMK,CAMK1,CAMK1,CAMK4
CAMKK1,140.33333333333334,144,KEA3,0.49714285714285716,2,OTHER,CAMKK,META,CAMKK1
CAMKK2,133.5,135,KEA3,0.5228571428571429,3,OTHER,CAMKK,META,CAMKK2
CDC42BPA,291,256,KEA3,0.11428571428571428,1,AGC,DMPK,GEK,CDC42BPA
CDC7,175,176,KEA3,0.38571428571428573,2,OTHER,CDC7,CDC7,CDC7
CDK1,56.5,35,KEA3,0.8942857142857142,4,CMGC,CDK,CDC2,CDK1
CDK11A,218,213,KEA3,0.2571428571428571,2,CMGC,CDK,CDK11,CDK11A
CDK11A,218,213,KEA3,0.2571428571428571,2,NA,NA,NA,CDK11A
CDK12,226,219,KEA3,0.2342857142857143,1,CMGC,CDK,CRK7,CDK12
CDK15,281,250,KEA3,0.13142857142857142,1,CMGC,CDK,PFTAIRE,CDK15
CDK16,270,244,KEA3,0.14857142857142858,1,CMGC,CDK,PCTAIRE,CDK16
CDK18,212,207,KEA3,0.28,2,CMGC,CDK,PCTAIRE,CDK18
CDK19,80,60,KEA3,0.8,4,CMGC,CDK,CDK8,CDK19
CDK2,31.666666666666668,13,KEA3,0.9628571428571429,4,CMGC,CDK,CDC2,CDK2
CDK20,155,158,KEA3,0.44571428571428573,2,CMGC,CDK,CCRK,CDK20
CDK3,78.33333333333333,59,KEA3,0.8057142857142857,4,CMGC,CDK,CDC2,CDK3
CDK4,61.333333333333336,39,KEA3,0.88,4,CMGC,CDK,CDK4,CDK4
CDK5,105.33333333333333,93,KEA3,0.6742857142857143,3,CMGC,CDK,CDK5,CDK5
CDK6,63.333333333333336,42,KEA3,0.8628571428571429,4,CMGC,CDK,CDK4,CDK6
CDK7,129,128,KEA3,0.5457142857142857,3,CMGC,CDK,CDK7,CDK7
CDK8,180.5,182,KEA3,0.3657142857142857,2,CMGC,CDK,CDK8,CDK8
CDK9,101.66666666666667,88,KEA3,0.6914285714285714,3,CMGC,CDK,CDK9,CDK9
CDKL3,309,271,KEA3,0.07142857142857142,1,CMGC,CDKL,CDKL,CDKL3
CDKL5,143,146,KEA3,0.49142857142857144,2,CMGC,CDKL,CDKL,CDKL5
CHEK1,21,6,KEA3,0.9828571428571429,4,CAMK,CAMKL,CHK1,CHEK1
CHEK2,84.66666666666667,65,KEA3,0.7714285714285715,4,CAMK,RAD53,RAD53,CHEK2
CHUK,63.333333333333336,42,KEA3,0.8628571428571429,4,OTHER,IKK,IKK,CHUK
CLK1,92.5,76,KEA3,0.74,3,CMGC,CLK,CLK,CLK1
CLK2,115.5,106,KEA3,0.6285714285714286,3,CMGC,CLK,CLK,CLK2
CLK3,213,208,KEA3,0.2742857142857143,2,CMGC,CLK,CLK,CLK3
CLK4,324,284,KEA3,0.03428571428571429,1,CMGC,CLK,CLK,CLK4
CSF1R,334,291,KEA3,0.014285714285714285,1,TK,PDGFR,PDGFR,CSF1R
CSK,147,151,KEA3,0.4742857142857143,2,TK,CSK,CSK,CSK
CSNK1A1,78.33333333333333,59,KEA3,0.8057142857142857,4,CK1,CK1,CK1-A,CSNK1A1
CSNK1A1L,338,295,KEA3,0.002857142857142857,1,CK1,CK1,CK1-A,CSNK1A1L
CSNK1D,69.66666666666667,50,KEA3,0.8371428571428572,4,CK1,CK1,CK1-D,CSNK1D
CSNK1E,96,81,KEA3,0.7171428571428572,3,CK1,CK1,CK1-D,CSNK1E
CSNK1G1,136.5,139,KEA3,0.5114285714285715,3,CK1,CK1,CK1-G,CSNK1G1
CSNK1G2,216,210,KEA3,0.26571428571428574,2,CK1,CK1,CK1-G,CSNK1G2
CSNK1G3,278,248,KEA3,0.13714285714285715,1,CK1,CK1,CK1-G,CSNK1G3
CSNK2A1,105,92,KEA3,0.68,3,CMGC,CK2,CK2,CSNK2A1
CSNK2A2,117.33333333333333,110,KEA3,0.6142857142857143,3,CMGC,CK2,CK2,CSNK2A2
DAPK1,158,162,KEA3,0.43142857142857144,2,CAMK,DAPK,DAPK,DAPK1
DAPK3,46.333333333333336,27,KEA3,0.92,4,CAMK,DAPK,DAPK,DAPK3
DCLK1,194,195,KEA3,0.3171428571428571,2,CAMK,DCAMKL,DCAMKL,DCLK1
DDR1,64.5,43,KEA3,0.8571428571428571,4,TK,DDR,DDR,DDR1
DDR2,188,191,KEA3,0.32857142857142857,2,TK,DDR,DDR,DDR2
DMPK,203,202,KEA3,0.29428571428571426,2,AGC,DMPK,GEK,DMPK
DYRK1A,101.66666666666667,88,KEA3,0.6914285714285714,3,CMGC,DYRK,DYRK1,DYRK1A
DYRK1B,25.333333333333332,8,KEA3,0.9771428571428571,4,CMGC,DYRK,DYRK1,DYRK1B
DYRK2,120.66666666666667,118,KEA3,0.58,3,CMGC,DYRK,DYRK2,DYRK2
DYRK3,187.5,190,KEA3,0.3314285714285714,2,CMGC,DYRK,DYRK2,DYRK3
DYRK4,119,114,KEA3,0.5914285714285714,3,CMGC,DYRK,DYRK2,DYRK4
EEF2K,232.5,223,KEA3,0.21428571428571427,1,ATYPICAL,ALPHA,EEF2K,EEF2K
EGFR,41,18,KEA3,0.9485714285714286,4,TK,EGFR,EGFR,EGFR
EIF2AK1,319,280,KEA3,0.045714285714285714,1,OTHER,PEK,HRI,EIF2AK1
EIF2AK2,143.66666666666666,147,KEA3,0.48857142857142855,2,OTHER,PEK,PKR,EIF2AK2
EIF2AK3,336,293,KEA3,0.008571428571428572,1,OTHER,PEK,PEK,EIF2AK3
EPHA2,323,283,KEA3,0.037142857142857144,1,TK,EPH,EPH,EPHA2
EPHA3,126,123,KEA3,0.56,3,TK,EPH,EPH,EPHA3
EPHA4,328,287,KEA3,0.025714285714285714,1,TK,EPH,EPH,EPHA4
EPHA8,335,292,KEA3,0.011428571428571429,1,TK,EPH,EPH,EPHA8
EPHB1,325,285,KEA3,0.03142857142857143,1,TK,EPH,EPH,EPHB1
EPHB2,297,261,KEA3,0.1,1,TK,EPH,EPH,EPHB2
EPHB3,192,193,KEA3,0.32285714285714284,2,TK,EPH,EPH,EPHB3
ERBB2,61.5,40,KEA3,0.8771428571428571,4,TK,EGFR,EGFR,ERBB2
ERBB4,222,217,KEA3,0.24,1,TK,EGFR,EGFR,ERBB4
FASTK,244,230,KEA3,0.19428571428571428,1,ATYPICAL,FAST,FAST,FASTK
FER,27.5,10,KEA3,0.9714285714285714,4,TK,FER,FER,FER
FES,261,242,KEA3,0.15428571428571428,1,TK,FER,FER,FES
FGFR1,128.66666666666666,127,KEA3,0.5485714285714286,3,TK,FGFR,FGFR,FGFR1
FGFR2,172,173,KEA3,0.39714285714285713,2,TK,FGFR,FGFR,FGFR2
FGFR3,146.5,150,KEA3,0.48,2,TK,FGFR,FGFR,FGFR3
FGFR4,63,41,KEA3,0.8685714285714285,4,TK,FGFR,FGFR,FGFR4
FGR,64.5,43,KEA3,0.8571428571428571,4,TK,SRC,SRCA,FGR
FLT1,313,275,KEA3,0.06,1,TK,VEGFR,VEGFR,FLT1
FLT3,113,103,KEA3,0.64,3,TK,PDGFR,PDGFR,FLT3
FLT4,283,251,KEA3,0.12857142857142856,1,TK,VEGFR,VEGFR,FLT4
FRK,205.5,204,KEA3,0.2885714285714286,2,TK,SRC,FRK,FRK
FYN,65.33333333333333,46,KEA3,0.8485714285714285,4,TK,SRC,SRCA,FYN
GRK1,217,212,KEA3,0.26,2,AGC,GRK,GRK,GRK1
GRK2,11.333333333333334,2,KEA3,0.9971428571428571,4,AGC,GRK,BARK,GRK2
GRK3,130.5,132,KEA3,0.5342857142857143,3,AGC,GRK,BARK,GRK3
GRK5,29.333333333333332,12,KEA3,0.9657142857142857,4,AGC,GRK,GRK,GRK5
GRK6,124,121,KEA3,0.5685714285714286,3,AGC,GRK,GRK,GRK6
GSK3A,77.33333333333333,58,KEA3,0.8114285714285714,4,CMGC,GSK,GSK,GSK3A
GSK3B,38,17,KEA3,0.9514285714285714,4,CMGC,GSK,GSK,GSK3B
HASPIN,222,217,KEA3,0.24,1,OTHER,HASPIN,HASPIN,HASPIN
HCK,121.66666666666667,119,KEA3,0.5742857142857143,3,TK,SRC,SRCB,HCK
HIPK1,84,63,KEA3,0.78,4,CMGC,DYRK,HIPK,HIPK1
HIPK2,136.66666666666666,140,KEA3,0.5085714285714286,3,CMGC,DYRK,HIPK,HIPK2
HIPK3,298,262,KEA3,0.09714285714285714,1,CMGC,DYRK,HIPK,HIPK3
HIPK4,96.5,82,KEA3,0.7114285714285714,3,CMGC,DYRK,HIPK,HIPK4
ICK,253,236,KEA3,0.17714285714285713,1,CMGC,RCK,RCK,CILK1
IGF1R,74.66666666666667,55,KEA3,0.8228571428571428,4,TK,INSR,INSR,IGF1R
IKBKB,45,25,KEA3,0.9257142857142857,4,OTHER,IKK,IKK,IKBKB
IKBKE,94.66666666666667,79,KEA3,0.7285714285714285,3,OTHER,IKK,IKK,IKBKE
ILK,59,37,KEA3,0.8885714285714286,4,TKL,MLK,ILK,ILK
INSR,118,111,KEA3,0.6085714285714285,3,TK,INSR,INSR,INSR
IRAK1,96,81,KEA3,0.7171428571428572,3,TKL,IRAK,IRAK,IRAK1
IRAK3,253.5,237,KEA3,0.1742857142857143,1,TKL,IRAK,IRAK,IRAK3
IRAK4,156,160,KEA3,0.44,2,TKL,IRAK,IRAK,IRAK4
ITK,115.66666666666667,107,KEA3,0.6257142857142857,3,TK,TEC,TEC,ITK
JAK1,150,153,KEA3,0.4657142857142857,2,TK,JAKA,JAKA,JAK1
JAK2,66.33333333333333,48,KEA3,0.8428571428571429,4,TK,JAKA,JAKA,JAK2
JAK3,135.66666666666666,137,KEA3,0.5171428571428571,3,TK,JAKA,JAKA,JAK3
KDR,307,269,KEA3,0.07714285714285714,1,TK,VEGFR,VEGFR,KDR
KIT,119,114,KEA3,0.5914285714285714,3,TK,PDGFR,PDGFR,KIT
KSR1,191,192,KEA3,0.32571428571428573,2,TKL,RAF,KSR,KSR1
KSR2,292,257,KEA3,0.11142857142857143,1,TKL,RAF,KSR,KSR2
LATS1,202.66666666666666,201,KEA3,0.3,2,AGC,NDR,NDR,LATS1
LATS2,102.5,89,KEA3,0.6885714285714286,3,AGC,NDR,NDR,LATS2
LCK,50.666666666666664,31,KEA3,0.9057142857142857,4,TK,SRC,SRCB,LCK
LIMK1,290,255,KEA3,0.11714285714285715,1,TKL,LISK,LIMK,LIMK1
LIMK2,216.5,211,KEA3,0.26285714285714284,2,TKL,LISK,LIMK,LIMK2
LRRK2,96.5,82,KEA3,0.7114285714285714,3,TKL,LRRK,LRRK,LRRK2
LYN,100.33333333333333,86,KEA3,0.7,3,TK,SRC,SRCB,LYN
MAK,280,249,KEA3,0.13428571428571429,1,CMGC,RCK,RCK,MAK
MAP2K1,113.33333333333333,104,KEA3,0.6371428571428571,3,STE,STE7,MEK1,MAP2K1
MAP2K2,115.5,106,KEA3,0.6285714285714286,3,STE,STE7,MEK1,MAP2K2
MAP2K3,209,206,KEA3,0.28285714285714286,2,STE,STE7,MEK3,MAP2K3
MAP2K4,182,184,KEA3,0.3514285714285714,2,STE,STE7,MEK4,MAP2K4
MAP2K6,175.66666666666666,177,KEA3,0.38285714285714284,2,STE,STE7,MEK3,MAP2K6
MAP2K7,97.5,83,KEA3,0.7085714285714285,3,STE,STE7,MEK7,MAP2K7
MAP3K1,276,246,KEA3,0.14285714285714285,1,STE,STE11,MEKK1,MAP3K1
MAP3K10,284,252,KEA3,0.12571428571428572,1,TKL,MLK,MLK,MAP3K10
MAP3K11,199,200,KEA3,0.3028571428571429,2,TKL,MLK,MLK,MAP3K11
MAP3K13,255,238,KEA3,0.16857142857142857,1,TKL,MLK,LZK,MAP3K13
MAP3K14,119,114,KEA3,0.5914285714285714,3,STE,STE-UNIQUE,STE-UNIQUE,MAP3K14
MAP3K20,83,62,KEA3,0.7914285714285715,4,TKL,MLK,ZAK,MAP3K20
MAP3K3,251,233,KEA3,0.18571428571428572,1,STE,STE11,MEKK2,MAP3K3
MAP3K4,310,272,KEA3,0.06857142857142857,1,STE,STE11,MEKK4,MAP3K4
MAP3K5,112.66666666666667,102,KEA3,0.6428571428571429,3,STE,STE11,ASK,MAP3K5
MAP3K6,197,198,KEA3,0.30857142857142855,2,STE,STE11,ASK,MAP3K6
MAP3K7,118.33333333333333,112,KEA3,0.6057142857142858,3,TKL,MLK,TAK1,MAP3K7
MAP3K8,105.5,94,KEA3,0.6714285714285714,3,STE,STE-UNIQUE,STE-UNIQUE,MAP3K8
MAP4K1,263,243,KEA3,0.15142857142857144,1,STE,STE20,KHS,MAP4K1
MAP4K2,161,163,KEA3,0.42857142857142855,2,STE,STE20,KHS,MAP4K2
MAP4K3,245,231,KEA3,0.19142857142857142,1,STE,STE20,KHS,MAP4K3
MAP4K4,228,221,KEA3,0.22285714285714286,1,STE,STE20,MSN,MAP4K4
MAP4K5,120.5,117,KEA3,0.5828571428571429,3,STE,STE20,KHS,MAP4K5
MAPK1,54,33,KEA3,0.9,4,CMGC,MAPK,ERK1,MAPK1
MAPK10,90,72,KEA3,0.7514285714285714,4,CMGC,MAPK,JNK,MAPK10
MAPK11,130.33333333333334,131,KEA3,0.5371428571428571,3,CMGC,MAPK,P38,MAPK11
MAPK12,108.66666666666667,96,KEA3,0.6628571428571428,3,CMGC,MAPK,P38,MAPK12
MAPK13,177.66666666666666,180,KEA3,0.3742857142857143,2,CMGC,MAPK,P38,MAPK13
MAPK14,72.66666666666667,52,KEA3,0.8314285714285714,4,CMGC,MAPK,P38,MAPK14
MAPK15,181,183,KEA3,0.35714285714285715,2,CMGC,MAPK,ERK7,MAPK15
MAPK3,65,45,KEA3,0.8514285714285714,4,CMGC,MAPK,ERK1,MAPK3
MAPK6,242,229,KEA3,0.19714285714285715,1,CMGC,MAPK,ERK3,MAPK6
MAPK7,149.33333333333334,152,KEA3,0.4714285714285714,2,CMGC,MAPK,ERK5,MAPK7
MAPK8,92,74,KEA3,0.7457142857142857,3,CMGC,MAPK,JNK,MAPK8
MAPK9,37.666666666666664,16,KEA3,0.9542857142857143,4,CMGC,MAPK,JNK,MAPK9
MAPKAPK2,84,63,KEA3,0.78,4,CAMK,MAPKAPK,MAPKAPK,MAPKAPK2
MAPKAPK3,304,266,KEA3,0.08571428571428572,1,CAMK,MAPKAPK,MAPKAPK,MAPKAPK3
MAPKAPK5,66,47,KEA3,0.8457142857142858,4,CAMK,MAPKAPK,MAPKAPK,MAPKAPK5
MARK2,127,125,KEA3,0.5542857142857143,3,CAMK,CAMKL,MARK,MARK2
MARK3,108,95,KEA3,0.6657142857142857,3,CAMK,CAMKL,MARK,MARK3
MARK4,333,290,KEA3,0.017142857142857144,1,CAMK,CAMKL,MARK,MARK4
MAST1,170.5,172,KEA3,0.4,2,AGC,MAST,MAST,MAST1
MAST2,318,279,KEA3,0.04857142857142857,1,AGC,MAST,MAST,MAST2
MATK,221,216,KEA3,0.24857142857142858,1,TK,CSK,CSK,MATK
MELK,311,273,KEA3,0.06571428571428571,1,CAMK,CAMKL,MELK,MELK
MERTK,34,15,KEA3,0.9571428571428572,4,TK,AXL,AXL,MERTK
MET,110.66666666666667,98,KEA3,0.6542857142857142,3,TK,MET,MET,MET
MKNK1,170,171,KEA3,0.40285714285714286,2,CAMK,MAPKAPK,MNK,MKNK1
MKNK2,232.5,223,KEA3,0.21428571428571427,1,CAMK,MAPKAPK,MNK,MKNK2
MOK,208.5,205,KEA3,0.2857142857142857,2,CMGC,RCK,RCK,MOK
MOS,308,270,KEA3,0.07428571428571429,1,OTHER,MOS,MOS,MOS
MST1R,257,240,KEA3,0.16285714285714287,1,TK,MET,MET,MST1R
MTOR,118,111,KEA3,0.6085714285714285,3,ATYPICAL,PIKK,FRAP,MTOR
MYLK2,233,224,KEA3,0.21142857142857144,1,CAMK,MLCK,MLCK,MYLK2
MYO3A,259,241,KEA3,0.16,1,STE,STE20,NINAC,MYO3A
NEK10,294,258,KEA3,0.10857142857142857,1,OTHER,NEK,NEK10,NEK10
NEK11,317,278,KEA3,0.05142857142857143,1,OTHER,NEK,NEK11,NEK11
