Kinase,Score,Rank,Method,Perc,Qrt,group,KinaseFamily,subfamily,hgnc_symbol
SGK1,0,53,PTM-SEA,0,1,AGC,SGK,SGK,SGK1
PIK3C2A,0,53,PTM-SEA,0,1,NA,NA,NA,PIK3C2A
CHEK1,69.98975922464484,21,PTM-SEA,0.7530864197530864,4,CAMK,CAMKL,CHK1,CHEK1
AURKA,80.38735391444469,15,PTM-SEA,0.8271604938271605,4,OTHER,AUR,AUR,AURKA
PDPK1,0,53,PTM-SEA,0,1,AGC,PDK1,PDK1,PDPK1
DAPK3,0,53,PTM-SEA,0,1,CAMK,DAPK,DAPK,DAPK3
RPS6KA5,47.53415122895123,32,PTM-SEA,0.5432098765432098,3,AGC,RSK,MSK,RPS6KA5
CHEK2,32.25860898826576,39,PTM-SEA,0.4567901234567901,2,CAMK,RAD53,RAD53,CHEK2
RAF1,35.28935143462551,38,PTM-SEA,0.4691358024691358,2,TKL,RAF,RAF,RAF1
PRKCG,0,53,PTM-SEA,0,1,AGC,PKC,ALPHA,PRKCG
PRKCB,-25.052105458323997,42,PTM-SEA,0.41975308641975306,2,AGC,PKC,ALPHA,PRKCB
CDK1,-50.09450453473292,30,PTM-SEA,0.5802469135802469,3,CMGC,CDK,CDC2,CDK1
ARAF,60.015368468087146,26,PTM-SEA,0.6666666666666666,3,TKL,RAF,RAF,ARAF
PIM1,95.961894385779,8,PTM-SEA,0.9135802469135802,4,CAMK,PIM,PIM,PIM1
CDK4,-80.1749894234188,18,PTM-SEA,0.7901234567901234,4,CMGC,CDK,CDK4,CDK4
SRC,0,53,PTM-SEA,0,1,TK,SRC,SRCA,SRC
BRAF,60.015368468087146,26,PTM-SEA,0.6666666666666666,3,TKL,RAF,RAF,BRAF
PRKCA,43.225076458967166,35,PTM-SEA,0.5061728395061729,3,AGC,PKC,ALPHA,PRKCA
PRKACA,18.28947187906334,43,PTM-SEA,0.4074074074074074,2,AGC,PKA,PKA,PRKACA
PRKACG,80.35888854747758,16,PTM-SEA,0.8148148148148148,4,AGC,PKA,PKA,PRKACG
PRKACB,55.24568965698497,27,PTM-SEA,0.6172839506172839,3,AGC,PKA,PKA,PRKACB
RPS6KB1,112.28757029035494,6,PTM-SEA,0.9382716049382716,4,AGC,RSK,P70,RPS6KB1
CDK2,-50.68575142569434,29,PTM-SEA,0.5925925925925926,3,CMGC,CDK,CDC2,CDK2
MAPK3,51.54663768473985,28,PTM-SEA,0.6049382716049383,3,CMGC,MAPK,ERK1,MAPK3
MAPK1,-44.48342211021627,33,PTM-SEA,0.5308641975308642,3,CMGC,MAPK,ERK1,MAPK1
AKT1,80.286649076108,17,PTM-SEA,0.8024691358024691,4,AGC,AKT,AKT,AKT1
AKT2,68.77538871671054,22,PTM-SEA,0.7407407407407407,3,AGC,AKT,AKT,AKT2
MAP3K8,-92.94123828623862,12,PTM-SEA,0.8641975308641975,4,STE,STE-UNIQUE,STE-UNIQUE,MAP3K8
PRKCI,55.24568965698497,27,PTM-SEA,0.6172839506172839,3,AGC,PKC,IOTA,PRKCI
MTOR,0,53,PTM-SEA,0,1,ATYPICAL,PIKK,FRAP,MTOR
MAPK8,-13.721432483223868,46,PTM-SEA,0.37037037037037035,2,CMGC,MAPK,JNK,MAPK8
MAPK9,-11.342401621566601,47,PTM-SEA,0.35802469135802467,2,CMGC,MAPK,JNK,MAPK9
CSNK1A1,0,53,PTM-SEA,0,1,CK1,CK1,CK1-A,CSNK1A1
CSNK1D,0,53,PTM-SEA,0,1,CK1,CK1,CK1-D,CSNK1D
MAPKAPK2,4.387378125583098,50,PTM-SEA,0.32098765432098764,2,CAMK,MAPKAPK,MAPKAPK,MAPKAPK2
GSK3A,0,53,PTM-SEA,0,1,CMGC,GSK,GSK,GSK3A
