Kinase,Score,Rank,Method,Perc,Qrt,group,KinaseFamily,subfamily,hgnc_symbol
SGK1,0,53,PTM-SEA,0,1,AGC,SGK,SGK,SGK1
PIK3C2A,0,53,PTM-SEA,0,1,NA,NA,NA,PIK3C2A
CHEK1,61.76237997613205,18,PTM-SEA,0.7901234567901234,4,CAMK,CAMKL,CHK1,CHEK1
AURKA,18.321759788756296,43,PTM-SEA,0.4074074074074074,2,OTHER,AUR,AUR,AURKA
PDPK1,0,53,PTM-SEA,0,1,AGC,PDK1,PDK1,PDPK1
DAPK3,0,53,PTM-SEA,0,1,CAMK,DAPK,DAPK,DAPK3
RPS6KA5,0.49035182667593613,51,PTM-SEA,0.30864197530864196,2,AGC,RSK,MSK,RPS6KA5
CHEK2,45.32362138348705,25,PTM-SEA,0.691358024691358,3,CAMK,RAD53,RAD53,CHEK2
RAF1,-18.9903344304071,42,PTM-SEA,0.41975308641975306,2,TKL,RAF,RAF,RAF1
PRKCG,0,53,PTM-SEA,0,1,AGC,PKC,ALPHA,PRKCG
PRKCB,-21.97252640825211,39,PTM-SEA,0.49382716049382713,2,AGC,PKC,ALPHA,PRKCB
CDK1,3.606224015598865,47,PTM-SEA,0.35802469135802467,2,CMGC,CDK,CDC2,CDK1
ARAF,-25.59664801160742,38,PTM-SEA,0.5061728395061729,3,TKL,RAF,RAF,ARAF
PIM1,71.68770431642297,12,PTM-SEA,0.8641975308641975,4,CAMK,PIM,PIM,PIM1
CDK4,-1.0601788491200037,50,PTM-SEA,0.32098765432098764,2,CMGC,CDK,CDK4,CDK4
SRC,0,53,PTM-SEA,0,1,TK,SRC,SRCA,SRC
BRAF,-25.59664801160742,38,PTM-SEA,0.5061728395061729,3,TKL,RAF,RAF,BRAF
PRKCA,48.7757621618045,24,PTM-SEA,0.7037037037037037,3,AGC,PKC,ALPHA,PRKCA
PRKACA,40.15030148627353,27,PTM-SEA,0.6666666666666666,3,AGC,PKA,PKA,PRKACA
PRKACG,65.19002115209211,14,PTM-SEA,0.8395061728395061,4,AGC,PKA,PKA,PRKACG
PRKACB,-20.887012147956987,40,PTM-SEA,0.4444444444444444,2,AGC,PKA,PKA,PRKACB
RPS6KB1,32.510767266553096,33,PTM-SEA,0.5925925925925926,3,AGC,RSK,P70,RPS6KB1
CDK2,-27.7421469009443,37,PTM-SEA,0.5432098765432098,3,CMGC,CDK,CDC2,CDK2
MAPK3,49.9113203776944,23,PTM-SEA,0.7160493827160493,3,CMGC,MAPK,ERK1,MAPK3
MAPK1,-63.43866455776884,17,PTM-SEA,0.8024691358024691,4,CMGC,MAPK,ERK1,MAPK1
AKT1,28.363603862564045,36,PTM-SEA,0.5555555555555556,3,AGC,AKT,AKT,AKT1
AKT2,2.3355552079514554,48,PTM-SEA,0.345679012345679,2,AGC,AKT,AKT,AKT2
MAP3K8,-41.89231882030529,26,PTM-SEA,0.6790123456790124,3,STE,STE-UNIQUE,STE-UNIQUE,MAP3K8
PRKCI,-20.887012147956987,40,PTM-SEA,0.4444444444444444,2,AGC,PKC,IOTA,PRKCI
MTOR,0,53,PTM-SEA,0,1,ATYPICAL,PIKK,FRAP,MTOR
MAPK8,80.54142511792055,9,PTM-SEA,0.9012345679012346,4,CMGC,MAPK,JNK,MAPK8
MAPK9,79.54991688315327,11,PTM-SEA,0.8765432098765432,4,CMGC,MAPK,JNK,MAPK9
CSNK1A1,0,53,PTM-SEA,0,1,CK1,CK1,CK1-A,CSNK1A1
CSNK1D,0,53,PTM-SEA,0,1,CK1,CK1,CK1-D,CSNK1D
MAPKAPK2,5.895124343327972,46,PTM-SEA,0.37037037037037035,2,CAMK,MAPKAPK,MAPKAPK,MAPKAPK2
GSK3A,0,53,PTM-SEA,0,1,CMGC,GSK,GSK,GSK3A
