"Symbol","logFC","PValue"
"RAB17",2.98328316650204,3.9989529607228e-17
"RANBP3L",6.8389485170069,3.09682609727763e-16
"MCM5",-2.16136979792735,4.97930501959557e-16
"PDE4D",2.74479353860311,1.09571748551927e-15
"UHRF1",-2.37156170417359,1.22147796929806e-15
"FAXDC2",3.52398896343182,1.54404389610134e-15
"FAM111B",-2.89236537038012,2.11479112978392e-15
"MCM10",-2.4234075962235,2.66767741439137e-15
"HS3ST3A1",3.43256352729526,3.84588898625077e-15
"CDC6",-2.1521456187633,6.67825785416051e-15
"GLP2R",3.07358063118611,9.32303504049256e-15
"CHAF1A",-1.84054728271792,9.86904052238253e-15
"DRAM1",2.16538763743783,1.07292209181333e-14
"DTL",-2.33841787295024,1.33789133143886e-14
"MCM4",-1.97943407003544,1.72648019093595e-14
"SLC38A11",1.97217095746522,1.97163758081389e-14
"ENSG00000290450",2.55054194905618,2.51149401169854e-14
"PSMC3IP",-2.23200140965726,2.53864367596628e-14
"HAGLR",1.96935020404722,3.13246297414086e-14
"ENSG00000184414",3.48751998678518,3.96915049839699e-14
"TCF19",-2.09185040976654,4.51426843976915e-14
"RORA",1.97656730043158,4.57624641118346e-14
"BCL6",1.72159942050553,4.82754408332501e-14
"SGK1",2.70487208447196,4.9001163618344e-14
"HDAC5",1.76753924992329,5.53231977031046e-14
"CDK2",-1.85715305675627,6.38053541827961e-14
"MTHFD1",-1.61899705054336,6.38859150524967e-14
"PNPLA6",1.8915983478079,6.92478326141586e-14
"ENSG00000298543",2.49437801944807,6.93360942164413e-14
"SLC5A3",2.82830308555733,7.2287801558463e-14
"UNG",-1.56799704671386,8.10791105772082e-14
"ODAM",2.92804216826949,8.50864193057536e-14
"GINS2",-2.29701192519337,8.5399642354246e-14
"C19orf48P",-1.88605215716464,9.7728929299951e-14
"MCM6",-2.02065097260089,1.3506389576824e-13
"PCNA",-1.78506176643778,1.39648630361053e-13
"NDEL1",1.58301696731667,1.4537521948382e-13
"CDC25A",-1.66608230536606,1.49847235397132e-13
"JMJD4",-2.11087862494135,1.58592339592594e-13
"AIFM2",-1.66266641070606,1.77794174122308e-13
"CHAF1B",-2.20642322643535,1.96752999519379e-13
"RFC5",-1.96491970046936,2.26039283407345e-13
"ENSG00000289886",3.87615695562031,2.36078012609394e-13
"LAD1",-1.68108832597519,2.40506284506838e-13
"FOXN2",1.78331846518087,2.42209256636988e-13
"HOXD1",3.5292130747849,2.54151295518174e-13
"ENSG00000279117",3.63285884653094,2.55545519714778e-13
"POP5",-1.6892959784785,2.62244192769579e-13
"FRY",2.86750876708162,2.62549202747322e-13
"EXO1",-2.08980783812529,2.67554869345041e-13
"WDHD1",-1.82889557196329,2.91944258541644e-13
"RNASEH2A",-1.89067475681524,3.14649015808977e-13
"POLA1",-1.61497709353872,3.22249720044347e-13
"CEACAM16-AS1",3.22900506592811,3.26764998483631e-13
"PLCXD1",1.62773418063661,3.64921210615483e-13
"MCM7",-1.58287035974585,4.26956455328623e-13
"RFWD3",-1.27998231817514,4.84140095592158e-13
"SETBP1",1.98802716547855,4.89894774594388e-13
"XRCC3",-2.09429474141826,4.90069227575463e-13
"GINS4",-2.13135327500765,4.92116112628001e-13
"CLSPN",-1.70025631574642,5.12220888286273e-13
"DDX3Y",1.58421352993289,5.4738942204179e-13
"GINS1",-1.89834854728941,5.55482571881067e-13
"ALDH18A1",1.73658048449701,5.96068775334605e-13
"ADH4",-2.86479531929004,5.99087587693975e-13
"E2F8",-2.80184218884108,6.28038537141174e-13
"IL1R1",1.86282129315489,6.28824769852399e-13
"RRM1",-1.63645051279635,6.4552418570938e-13
"MCM2",-1.61435665458379,6.49180021486422e-13
"FRZB",4.09892374058833,6.75504927456498e-13
"YIPF2",1.4484661343642,6.94177948619867e-13
"RRM2",-1.70692874151119,7.12291735002045e-13
"ENSG00000295447",2.99474505785145,7.37098512783883e-13
"E2F2",-1.71690162934701,7.8796312988981e-13
"AKR1C1",1.47469931796569,8.24117496099713e-13
"TTR",2.21391972829154,8.74009403715225e-13
"GRAMD1A",2.70809843549291,8.8854961845592e-13
"ZWINT",-1.91878163130943,8.89481365297292e-13
"ERV3-1",1.5389657998568,9.96070624125825e-13
"UTRN",1.7873693474049,1.07821340123957e-12
"SLCO4A1-AS1",4.26824161102906,1.10798862076195e-12
"LPIN2",1.94604192088198,1.11599401062816e-12
"CDC45",-2.51769867429935,1.12439191598945e-12
"FNIP2",1.89560690784467,1.12721639325186e-12
"SLC25A10",-1.69920640573466,1.16770108878525e-12
"IPO4",-1.43106787065351,1.1846470356775e-12
"KLHL24",2.87288381872108,1.19973059776561e-12
"KLHDC2",1.60986753576567,1.3313230748005e-12
"TP53INP1",2.51446257026908,1.3762845853703e-12
"CCNG2",1.98640158337322,1.41516008796418e-12
"ZFHX3-AS1",-2.1511796962932,1.42232486523697e-12
"ENSG00000214719",1.94474691465516,1.43795934675872e-12
"RAD51",-1.7097605036506,1.52975559552718e-12
"FEN1",-1.70309318380471,1.57317308880968e-12
"TINAGL1",1.87519050374913,1.59836271737389e-12
"DDC",-1.38028595186775,1.60737592588489e-12
"TGFBR3",2.4335921216649,1.63097308529326e-12
"EEF2KMT",-1.80331914310505,1.64468863086318e-12
"SLC6A14",2.36699151439071,1.67939769865421e-12
"CDCA7",-2.0363078006802,1.70369030139307e-12
"CENPX",-1.63882876650854,1.74750310873982e-12
"LINC00668",1.63520284050508,1.89292190264773e-12
"RSRP1",1.51582966154375,1.97914774874968e-12
"LOC105375517",3.27604072885339,2.0624275761856e-12
"ENSG00000236283",1.94219094395567,2.11444352121573e-12
"MMD",2.21366541261941,2.24003563277183e-12
"MSH6",-1.21033907791233,2.34534552760326e-12
"LPAR6",2.04628304751316,2.36265323044258e-12
"MYBL2",-1.70366488843688,2.43932086939493e-12
"GREB1",1.27858194694804,2.52232302670501e-12
"BRCA1",-2.09332892425878,2.56449451383183e-12
"ORC1",-2.12962146380252,2.66168941616964e-12
"ZBTB38",1.64483448183334,2.74111020944157e-12
"KDM7A",1.73351609111337,2.77529098622678e-12
"CENPB",-1.3272415922682,2.82976693396641e-12
"ORC3",-1.41540714948992,2.85207322225592e-12
"CDK4",-1.54066690435588,2.93017448637812e-12
"PPP6R2",1.39787330050189,2.94096785915519e-12
"FSBP",2.50515519520219,2.9758611154732e-12
"INSIG2",1.86038968947823,2.97970937701834e-12
"PLOD2",1.53065632613143,3.03464890631037e-12
"MSH2",-1.40459002339101,3.25613293903234e-12
"SLC22A23",1.40135103264924,3.65830387752124e-12
"WDR76",-1.90410412859306,3.71377354062616e-12
"SORT1",1.28372899389397,3.76691162363053e-12
"MYLK4",3.17788144319179,3.89194332655395e-12
"CCNE2",-2.26004634660125,3.90296923270216e-12
"RANBP1",-1.29818909750629,4.03058331955833e-12
"ENSG00000290729",2.70489009690176,4.10272869637177e-12
"DSCC1",-2.11240288897979,4.10436238619417e-12
"TMEM181",1.54086546647877,4.4663917721385e-12
"CCHCR1",-1.53183382729452,4.71155593929847e-12
"PPARGC1A",1.89667753219894,4.90513517702325e-12
"FAH",-1.22642741307126,4.92339638735147e-12
"AGFG2",1.3107710437532,5.03650994157057e-12
"MKLN1",1.26701194322739,5.18794495365908e-12
"SLBP",-1.35756728333103,5.26005695917718e-12
"ARHGEF25",1.39351981471183,5.42194754474783e-12
"HELLS",-1.65286870461596,5.60017435876165e-12
"BLM",-1.95296516837801,5.60599697032129e-12
"CDT1",-1.6755288578339,5.61155539282495e-12
"ODC1",-1.69738586302622,5.69389252953877e-12
"TTC39C",-1.47355527017486,5.80072463445237e-12
"PCLAF",-1.8234128373851,5.87145512002004e-12
"FCGBP",1.92663669203342,6.01036962265428e-12
"SNRNP25",-1.40166105320244,6.01871406938727e-12
"SMIM1",-1.58191883732225,6.03748570043698e-12
"PLEKHB1",1.79662238448951,6.12053453898739e-12
"MXD4",1.42925298979428,6.29501276183236e-12
"CISD3",-1.50038565859126,6.57688342487612e-12
"CDCA4",-1.4455341888089,6.69401146585075e-12
"PGP",-1.30237096331965,6.70438525982454e-12
"TMT1B",-1.33092042492477,6.71962490957186e-12
"MANEAL",-1.31769408228779,6.86377156154527e-12
"FBF1",-2.29848299243741,7.07279767944372e-12
"CCDC186",1.54018678693993,7.20809273641028e-12
"COQ8A",1.36243771288242,7.43998714944934e-12
"BTG1",1.51508898743888,7.46180747986072e-12
"SCN9A",1.56314698538291,8.02139925798977e-12
"ENSG00000289517",3.6953705315646,8.52140147010612e-12
"ABHD11",-2.42689038277586,8.55451015761353e-12
"FLAD1",-1.71124678879367,8.5784289052812e-12
"AMPD2",1.43985798715311,8.59429153110383e-12
"ZSWIM5",1.55880198859214,8.66515971032991e-12
"SIGMAR1",-1.24053437253562,8.77380435363566e-12
"MELK",-1.27683806239705,8.91448286509995e-12
"PIWIL2",3.73408263805368,8.99532090189579e-12
"PDGFRB",3.36972579590757,9.21855763219555e-12
"SAA4",-1.98025281663021,9.29456808461371e-12
"CENPK",-1.5290844057975,9.3868541843414e-12
"CRELD2",-1.31145714200032,9.49195783321034e-12
"DHFR",-1.28951388585642,9.6140315877389e-12
"LOC105376292",3.10461917214166,9.63242697695032e-12
"ENSG00000260772",1.225488979964,9.6391011987578e-12
"CALCOCO1",2.12562088982632,1.01493036208754e-11
"LRRCC1",-1.8610332795074,1.05973838862281e-11
"LOC101927745",1.94471213199312,1.07370306965895e-11
"POLR2G",-1.49528714689681,1.07435318726771e-11
"WWC2",1.24586398893518,1.08421816282114e-11
"PAQR8",1.79964992669989,1.10056206586747e-11
"DYNC2I2",-1.98474425229414,1.15819275622918e-11
"ONECUT2",1.21025289437019,1.18127683298501e-11
"TEDC2",-2.06094274108693,1.1961396457896e-11
"KLHL14",1.76225860109959,1.22491725958737e-11
"PLPPR1",2.45102845757859,1.24966038832098e-11
"PKMYT1",-1.78845134316003,1.25497549166456e-11
"FZD4",1.61158621160033,1.30187192384149e-11
"RHOJ",2.62206255729233,1.30455528520452e-11
"CYP1A1",3.73925135820749,1.30533366518479e-11
"MGAT5",1.592396636742,1.32640133256544e-11
"WIPI1",2.43505951941959,1.38527274101695e-11
"PRIM1",-1.37774922159408,1.40248989302053e-11
"MCM3",-1.25832758812863,1.42648037031279e-11
"RTN2",1.94793309715072,1.46382481831399e-11
"PYCR3",-2.26963282544641,1.48049106536324e-11
