Kinase,Score,Rank,Method,Perc,Qrt,group,KinaseFamily,subfamily,hgnc_symbol
SGK1,0,53,PTM-SEA,0,1,AGC,SGK,SGK,SGK1
PIK3C2A,0,53,PTM-SEA,0,1,NA,NA,NA,PIK3C2A
CHEK1,77.2701049593166,10,PTM-SEA,0.8765432098765432,4,CAMK,CAMKL,CHK1,CHEK1
AURKA,36.10412285060874,31,PTM-SEA,0.5925925925925926,3,OTHER,AUR,AUR,AURKA
PDPK1,0,53,PTM-SEA,0,1,AGC,PDK1,PDK1,PDPK1
DAPK3,0,53,PTM-SEA,0,1,CAMK,DAPK,DAPK,DAPK3
RPS6KA5,12.914289551878799,43,PTM-SEA,0.4444444444444444,2,AGC,RSK,MSK,RPS6KA5
CHEK2,50.11147030103473,21,PTM-SEA,0.7407407407407407,3,CAMK,RAD53,RAD53,CHEK2
RAF1,23.398445133136804,38,PTM-SEA,0.5061728395061729,3,TKL,RAF,RAF,RAF1
PRKCG,0,53,PTM-SEA,0,1,AGC,PKC,ALPHA,PRKCG
PRKCB,-28.534764896598112,35,PTM-SEA,0.5432098765432098,3,AGC,PKC,ALPHA,PRKCB
CDK1,61.93035472996636,15,PTM-SEA,0.8148148148148148,4,CMGC,CDK,CDC2,CDK1
ARAF,49.537686261867066,23,PTM-SEA,0.691358024691358,3,TKL,RAF,RAF,ARAF
PIM1,48.93374305272805,25,PTM-SEA,0.6666666666666666,3,CAMK,PIM,PIM,PIM1
CDK4,-17.19211311091461,40,PTM-SEA,0.48148148148148145,2,CMGC,CDK,CDK4,CDK4
SRC,0,53,PTM-SEA,0,1,TK,SRC,SRCA,SRC
BRAF,49.537686261867066,23,PTM-SEA,0.691358024691358,3,TKL,RAF,RAF,BRAF
PRKCA,36.00109924479361,32,PTM-SEA,0.5802469135802469,3,AGC,PKC,ALPHA,PRKCA
PRKACA,3.823646277212353,52,PTM-SEA,0.2962962962962963,2,AGC,PKA,PKA,PRKACA
PRKACG,36.21031762349348,30,PTM-SEA,0.6049382716049383,3,AGC,PKA,PKA,PRKACG
PRKACB,-10.15831947386571,46,PTM-SEA,0.37037037037037035,2,AGC,PKA,PKA,PRKACB
RPS6KB1,106.40956193659476,4,PTM-SEA,0.9629629629629629,4,AGC,RSK,P70,RPS6KB1
CDK2,6.493272785967982,48,PTM-SEA,0.345679012345679,2,CMGC,CDK,CDC2,CDK2
MAPK3,16.17594009246423,42,PTM-SEA,0.4567901234567901,2,CMGC,MAPK,ERK1,MAPK3
MAPK1,-30.857173297549412,33,PTM-SEA,0.5679012345679012,3,CMGC,MAPK,ERK1,MAPK1
AKT1,48.80035915344104,26,PTM-SEA,0.654320987654321,3,AGC,AKT,AKT,AKT1
AKT2,44.1123942133515,27,PTM-SEA,0.6419753086419753,3,AGC,AKT,AKT,AKT2
MAP3K8,-63.08402902262998,14,PTM-SEA,0.8271604938271605,4,STE,STE-UNIQUE,STE-UNIQUE,MAP3K8
PRKCI,-10.15831947386571,46,PTM-SEA,0.37037037037037035,2,AGC,PKC,IOTA,PRKCI
MTOR,0,53,PTM-SEA,0,1,ATYPICAL,PIKK,FRAP,MTOR
MAPK8,4.841036911680525,49,PTM-SEA,0.3333333333333333,2,CMGC,MAPK,JNK,MAPK8
MAPK9,49.2235648938174,24,PTM-SEA,0.6790123456790124,3,CMGC,MAPK,JNK,MAPK9
CSNK1A1,0,53,PTM-SEA,0,1,CK1,CK1,CK1-A,CSNK1A1
CSNK1D,0,53,PTM-SEA,0,1,CK1,CK1,CK1-D,CSNK1D
MAPKAPK2,-17.11385895735445,41,PTM-SEA,0.4691358024691358,2,CAMK,MAPKAPK,MAPKAPK,MAPKAPK2
GSK3A,0,53,PTM-SEA,0,1,CMGC,GSK,GSK,GSK3A
