"Symbol","logFC","PValue"
"FAXDC2",2.89842081140674,2.41431855709765e-14
"RAB17",1.74196748630266,6.28800398407933e-14
"CYP1A1",4.8561441177155,2.56235218397816e-13
"JMJD4",-1.98985877282108,3.00751572731793e-13
"PTTG1",1.75965040437459,4.38009248581617e-13
"UHRF1",-1.49134520000481,6.22326736610074e-13
"CCNB2",1.71749257935487,6.6495815302214e-13
"FAM111B",-1.72661424601097,1.06934566743135e-12
"HS3ST3A1",2.42503986304891,1.39292369140893e-12
"SLC38A11",1.46331424553731,1.44026882900357e-12
"ECT2",1.72171938131789,2.58582881150032e-12
"SMIM1",-1.65070548865673,3.29464377850035e-12
"CENPA",1.54603601277585,3.40802575431149e-12
"MCM5",-1.12307671918474,3.71226743956399e-12
"ZBTB38",1.60783903209052,3.76229499844619e-12
"HAGLR",1.39777952080187,4.13761785066414e-12
"SLC6A14",2.20660928544459,4.4241908660398e-12
"DLGAP5",1.5417075512042,4.61466537257788e-12
"CCNG2",1.82723278669443,4.84752598073837e-12
"KIF20A",1.61728147553036,8.45290541877852e-12
"TPX2",1.15836585061704,8.8946036476629e-12
"LIMA1",1.68013256472021,9.16947618830235e-12
"LAD1",-1.27983467101011,9.25403944916793e-12
"NEK2",1.39571414915755,1.04282361739622e-11
"PDE4D",1.48482774266011,1.05038114575662e-11
"LINC00668",1.44073717045507,1.15111198129631e-11
"BUB1",1.13605297647011,1.197933069125e-11
"EEF2KMT",-1.52427483385486,1.32156220541157e-11
"SGK1",1.82100354556865,1.65866989899239e-11
"PNPLA6",1.28302545762894,1.69807651530256e-11
"DRAM1",1.29646187435526,1.72140554411829e-11
"NDEL1",1.12907872933866,1.7909162018201e-11
"C19orf48P",-1.26609545506828,1.98117300558896e-11
"FAM120AOS",-1.19379686670608,2.0098419701596e-11
"MAP3K3",1.01304878762803,2.03452700834286e-11
"PYCR3",-2.14711497321754,2.33499961329527e-11
"INCENP",1.53666891048277,2.50085352368799e-11
"CCNF",1.2101164938177,2.5364462714036e-11
"CDC6",-1.16251438701186,2.61104565922391e-11
"PSMC3IP",-1.30365154658331,2.62412900334154e-11
"ENSG00000290729",2.36187607567934,2.71414017372854e-11
"FBF1",-2.01626918652408,3.20416807733395e-11
"AMPD2",1.3072336810002,3.30287452333591e-11
"ENSG00000184414",2.30820899623078,3.39725527822414e-11
"GPSM2",1.53105452114354,3.50123383289955e-11
"ASMER1",2.04143741402793,3.56964087932518e-11
"LPIN2",1.50868204190443,3.91634995174148e-11
"FRY",2.03067575388586,3.92577889415433e-11
"TP53INP1",1.99020372132009,4.0270614748807e-11
"KLHL24",2.29138347936845,4.08287369920049e-11
"PRR11",1.66691593294713,4.3221684341833e-11
"ENSG00000289886",2.93069507564126,4.57684008774034e-11
"REPS2",1.83528132123532,4.66417975413161e-11
"ANLN",1.0011225986468,4.84958365262837e-11
"ODAM",1.83274435221874,5.57429743809139e-11
"MGAT5",1.43084824303863,5.82896951467187e-11
"SORT1",1.05297411747043,6.11805792344869e-11
"COQ8A",1.16813063574995,6.41489670666632e-11
"NCAPD2",1.00016781121611,6.53064881639175e-11
"STK26",1.23586103711625,6.89932222857035e-11
"PIF1",2.10748601874282,7.60015951470696e-11
"GINS4",-1.42518022102296,7.70734273844714e-11
"TTK",1.36175881466199,7.78565546435885e-11
"BIRC5",0.994047241019953,8.78848457588462e-11
"INSIG2",1.44538143474053,9.61867194338198e-11
"ZBTB44",0.930977225045869,1.02491784994595e-10
"CDK19",1.12783583695259,1.04263751892918e-10
"CLSPN",-1.14622995721108,1.0511842953498e-10
"SLC25A10",-1.20389169121418,1.19562524968305e-10
"ZSWIM5",1.29200016855127,1.29210661380039e-10
"HP1BP3",1.08550521896654,1.30859076287296e-10
"TGFBR3",1.75659812377691,1.32012837727505e-10
"NUDT4",1.14429440960915,1.37765690891708e-10
"MYBBP1A",-0.943235393394321,1.38712887214091e-10
"KDM7A",1.31892481400001,1.39727624211856e-10
"FZD4",1.35603092156715,1.44387046201597e-10
"CKAP2L",1.14708111349746,1.5427201391765e-10
"AGFG2",1.02286116070384,1.61314790909978e-10
"PPARGC1A",1.48639596194774,1.63365619668414e-10
"ENSG00000298543",1.5137177040037,1.65961328319308e-10
"POP5",-1.03068815491828,1.68796664019447e-10
"MCM10",-1.0257491856481,1.69140911005802e-10
"MIR3142HG",2.17591770274204,1.71914194952743e-10
"CCNG1",0.978741941919219,1.74977458634584e-10
"PPM1H",1.042076144207,1.80696804165041e-10
"LPAR6",1.49573213991424,1.87302291215501e-10
"CCNE1",-1.31618782746102,1.98075909515593e-10
"CISD3",-1.15950988347587,1.98591726543782e-10
"ENSG00000268858",-1.24300301452118,2.00936425243505e-10
"KLHDC2",1.12896926584792,2.01355210104052e-10
"RORA",1.11142285738959,2.03929459135348e-10
"MCM4",-0.998527757535732,2.07495576819201e-10
"PLK1",1.40791868495683,2.09198678918185e-10
"DAB2IP",0.916029964049536,2.12361076576642e-10
"GLP2R",1.638923535611,2.17236151499606e-10
"CENPF",1.47510111468174,2.23765694007098e-10
"TMT1B",-1.0176755818475,2.30035021773929e-10
"CRELD2",-1.03223189194109,2.39348057338342e-10
"PBXIP1",1.1283930583524,2.49101963788695e-10
"ALDH18A1",1.12037072271841,2.59395847744152e-10
"PPM1K",1.12185059230599,2.67986005788019e-10
"TCF19",-1.07887570910389,2.68157394970986e-10
"NUSAP1",0.890487507764053,2.7782422260076e-10
"FOXQ1",-1.48955071142009,2.81542920050649e-10
"PLCXD1",1.01242010576907,2.84928806892059e-10
"INPPL1",1.01554810300713,3.0175668367548e-10
"UNG",-0.856109996659449,3.02244528122129e-10
"CDC25B",1.19165747639207,3.14441316482266e-10
"TAPT1",1.08875688911972,3.17343958807151e-10
"TBC1D4",1.11353807192271,3.1915707489345e-10
"CYP3A7",2.46186866263578,3.23117741001032e-10
"ADH4",-1.71601507506856,3.25388224573912e-10
"CDC25C",1.10688110876422,3.36454623202373e-10
"CCNE2",-1.51980505393612,3.36472224210739e-10
"IL1R1",1.18836749220626,3.3809551625614e-10
"FOXO4",1.96300060012307,3.5025889271022e-10
"MMD",1.52283490304027,3.63407687533577e-10
"G2E3",1.0791829988302,3.64127697629163e-10
"HES4",-1.5153861581065,3.68498868074176e-10
"FAM86EP",-2.16666156882244,3.70806295788794e-10
"THAP7",-1.10519378837524,3.7657671561678e-10
"ENSG00000290450",1.29715238539,3.77482515699579e-10
"PDXDC2P-NPIPB14P",1.10715807018777,3.82786837675737e-10
"AKR1C1",0.948565295907111,3.85310868436873e-10
"TOP2A",1.09895671319993,3.91637892503886e-10
"HOXD1",2.16022183623253,4.08532392319681e-10
"PEX10",-1.11459044492821,4.1684178088459e-10
"FCHO2",1.06367184996097,4.43540618637663e-10
"CALCOCO1",1.62552758432861,4.44445981220578e-10
"FSBP",1.83163412415088,4.6303672735502e-10
"CENPB",-0.908364002534234,4.88682627948492e-10
"NPC1",1.24417181967788,5.06762130191437e-10
"PLOD2",1.05254792240004,5.37361158189946e-10
"KIF14",1.26548086868065,5.63405099455227e-10
"CDC45",-1.51199739310388,5.70070046693031e-10
"MTHFD1",-0.83619551385695,5.82664399400381e-10
"C1RL",-0.929632601582176,5.88391604021797e-10
