Gene.name,log2FoldChange,padj
Rbm15,1.10187663,4.17E-83
Dusp1,3.590944959,1.28E-82
Mpp2,-1.326859135,1.29E-82
Traf6,2.080467557,2.10E-82
AABR07026112.1,4.254283616,3.43E-82
Csnk1d,0.652991132,1.07E-81
Slc2a3,1.737276487,3.22E-81
Hmg20a,-0.890312531,6.58E-81
Rheb,1.634150785,1.06E-80
Usp27x,1.306232913,1.21E-80
LOC100911851,1.291258729,2.10E-80
Bcorl1,-1.168070073,2.50E-80
Get4,1.399691059,2.50E-80
Opa3,1.303250804,2.78E-80
Fgd3,-1.297951609,1.06E-79
Dbndd1,-1.394120684,1.18E-79
LOC100912585,-1.183976987,1.67E-79
Insig1,0.637036508,5.70E-79
Mir132,4.363435004,6.79E-79
Zc3h13,0.840754909,8.35E-79
Nfatc2,4.6917017,9.93E-79
Pou3f1,1.109320719,1.06E-78
Khdc4,1.094276354,1.14E-78
Srsf3,-1.037671366,1.55E-78
Mapk7,-1.179575792,1.58E-78
Ptgs2,3.750373706,3.08E-78
Zswim6,1.098449071,3.35E-78
Mxi1,2.022284834,4.71E-78
Lpin2,0.941153509,5.24E-78
Tet3,1.115781371,6.52E-78
Lbh,2.471810295,7.93E-78
Kcna2,-1.359618953,9.24E-78
Gpr12,-1.826489186,1.66E-77
Jun,2.853288323,1.08E-76
Gse1,-1.854783514,1.11E-76
Ston2,2.861886551,2.37E-76
Gpc6,1.506162123,3.49E-76
Cx3cl1,1.107262706,3.50E-76
Tsc22d2,1.425161087,5.08E-76
Arih1,1.053027902,7.14E-76
Mir212,4.247245973,1.39E-75
Lmtk2,0.549568763,1.44E-75
Prrt3,-1.268591973,1.72E-75
Nuak1,-1.344636848,3.99E-75
Ndel1,0.882141691,6.38E-75
Magel2,1.721942491,6.89E-75
Tent5b,6.110545817,9.42E-75
Ankrd34a,-1.11532701,1.20E-74
Per1,1.832865055,1.28E-74
AABR07060519.1,2.077828476,3.17E-74
Cdk12,1.277301816,3.33E-74
Rnf145,-1.332616918,3.37E-74
Mfsd6,-0.919326953,3.77E-74
Spata5l1,1.651196826,1.19E-73
Dusp16,2.929546022,2.21E-73
LOC108348112,0.67160875,2.27E-73
Rtn4r,-1.508920655,2.50E-73
Dusp5,2.436287795,2.59E-73
Syt4,1.534820287,3.28E-73
Josd1,1.084466905,4.46E-73
Ubn2,1.410097719,4.52E-73
Cpeb2,0.926265023,6.16E-73
Dnajc9,1.220079745,1.14E-72
Baz1a,2.943128352,1.26E-72
Atf3,5.96851159,1.61E-72
Pdzd8,0.919028532,2.84E-72
Slain2,1.099446351,5.58E-72
Klhdc10,0.792447366,6.05E-72
Dusp4,2.608319847,1.88E-71
Numb,1.872969889,2.00E-71
AC098547.1,0.690682278,5.76E-71
Tmem169,-1.488885736,6.14E-71
AABR07034767.1,3.683169051,6.65E-71
Oprl1,-1.320333867,7.47E-71
Snx18,1.810360948,1.11E-70
Zfp467,-2.190891028,3.15E-70
Srf,1.549135295,4.01E-70
Luzp1,1.011073338,5.61E-70
Creb5,4.006851503,5.79E-70
AABR07068127.1,1.814030345,7.05E-70
Plk3,1.434032322,8.81E-70
Adam19,0.777487585,1.69E-69
Xpo5,-0.927470759,1.95E-69
Spata2L,1.142607052,2.79E-69
Cldnd1,0.917788277,4.55E-69
Stac,2.339763021,6.29E-69
Mn1,1.310988062,1.33E-68
Cxxc1,1.399281464,1.51E-68
Pcdh17,1.808073,1.54E-68
Galnt11,1.002388204,2.04E-68
Adamts9,4.206208045,4.80E-68
Sema6c,-1.311944242,1.68E-67
Amigo1,-0.988928292,2.77E-67
Kifbp,-0.951243325,2.83E-67
Mycl,-1.763537621,3.19E-67
Gpr88,1.269231713,6.82E-67
Cdc42ep3,1.180884295,1.28E-66
Aff4,0.911225256,1.28E-66
Cdkn1b,1.65976164,1.38E-66
Zfp335,1.049880656,1.81E-66
Nampt,1.256087731,2.37E-66
Cbln2,2.097275202,2.67E-66
Acsl6,-0.89811437,8.00E-66
Ephb3,1.245727657,1.28E-65
Pank1,1.302620927,1.69E-65
Prox1,3.311478964,3.17E-65
Keap1,-1.252595503,4.34E-65
Braf,0.94277486,6.10E-65
Smad7,1.933703263,7.29E-65
Orai2,-1.153979641,1.13E-64
Rcc2,1.503730395,1.24E-64
Trappc12,-1.254076508,1.34E-64
Rhoq,1.523675477,1.57E-64
Ppm1d,1.223223732,7.03E-64
Nub1,-0.946277514,1.74E-63
Fndc9,2.155570384,1.87E-63
Bend4,2.29817557,2.70E-63
Dnajb4,1.521058996,2.77E-63
Ahi1,1.189289781,3.02E-63
Amer3,-0.915758904,1.45E-62
Nr2c2,-0.761522171,1.61E-62
Gjc1,-1.63388179,2.27E-62
Ezr,2.181988244,2.35E-62
Edn1,4.136074317,2.55E-62
Lrfn2,-1.265801236,2.55E-62
Rasa3,-1.569077457,2.84E-62
Ch25h,4.184213461,3.80E-62
Col4a2,0.708335115,2.04E-61
Pcdh1,-0.772393177,2.38E-61
Hsdl1,-0.905793879,3.99E-61
Peli1,0.963805361,6.49E-61
Wdr81,-1.445240578,1.25E-60
Bclaf1,-0.801619568,1.27E-60
RGD1564541,1.94769836,1.72E-60
Sf1,0.885937783,3.03E-60
Wdr11,-0.934825306,3.48E-60
Setbp1,0.818626008,3.87E-60
Pard6a,1.278891841,4.35E-60
Jam2,2.937114107,4.98E-60
AABR07027575.1,1.352385702,5.59E-60
Sstr1,1.032759207,5.78E-60
Col4a1,1.699013115,1.08E-59
Tbl2,-1.060217109,1.10E-59
Rrad,3.704445016,1.24E-59
Prr12,-1.056973923,1.26E-59
Nudt4,0.895778609,1.46E-59
Klf14,3.84154345,1.85E-59
Saraf,0.927683786,3.00E-59
Ralgds,-1.027712277,3.33E-59
Sertad1,2.806323203,3.99E-59
Cant1,-1.460907824,5.65E-59
Dclk3,-3.093507826,5.92E-59
Pim3,1.024461137,6.04E-59
Srek1,0.989550788,6.99E-59
Glul,0.878764102,9.76E-59
Ago2,0.971765611,1.60E-58
Gpr61,-1.376580143,1.96E-58
Btg3,1.946426616,2.08E-58
Fgfr1op,1.353306143,2.22E-58
Midn,1.008470491,3.31E-58
Btbd10,0.825890194,4.78E-58
Coq10b,1.887449663,5.56E-58
Rspo3,1.585335662,5.70E-58
Mtmr4,-0.823716633,7.09E-58
Zbtb16,1.331630885,7.68E-58
Pla2g4e,-1.459645718,9.50E-58
Mlf1,3.708925199,9.79E-58
Kbtbd11,-1.120182861,1.44E-57
Sclt1,1.791876608,1.55E-57
Lrig2,1.2066032,2.12E-57
Znfx1,-1.01641071,2.80E-57
Ocln,2.555499568,4.13E-57
LOC102547897,2.721333559,5.50E-57
Id4,2.548253819,9.37E-57
Ddr1,-1.511773647,1.54E-56
Arhgap31,2.530677906,1.67E-56
Maff,4.388539849,1.86E-56
Zbed3,1.664823968,1.98E-56
Bcar3,2.330172902,2.34E-56
Msantd1,1.223820469,2.37E-56
Bcor,1.124368607,4.06E-56
Tbc1d1,1.181569071,4.21E-56
Suv39h2,1.453259702,4.47E-56
Pcna,1.099930929,5.37E-56
Phyhip,-1.088727163,5.60E-56
Thbs1,5.159421831,7.84E-56
Odc1,0.888992589,8.37E-56
Ppig,1.28434492,1.14E-55
Zfp207,-0.991734678,1.44E-55
Elp3,-0.577676089,5.02E-55
Afg3l2,-0.989900433,6.03E-55
Cldn12,0.940999707,7.13E-55
Jmjd1c,0.807526241,8.10E-55
Crem,3.768030328,1.02E-54
Efna3,-1.373329395,1.55E-54
Ppp1r2,1.173680108,2.10E-54
Arg2,1.202050733,2.53E-54
Nhsl1,1.295325645,2.60E-54
LOC108348161,-1.084372312,3.37E-54
Isca1,0.686451871,3.53E-54
RGD1562747,1.859372161,4.10E-54
Mapk8,0.838481116,7.24E-54
Btbd17,-1.809023491,1.40E-53
Setd1b,-1.110946143,1.50E-53
Vash2,-0.924142892,1.78E-53
Rhov,-1.602192922,1.78E-53
Fam181b,4.902602802,1.96E-53
RGD1306271,-0.570072927,2.32E-53
Gem,5.206345924,3.25E-53
Rara,1.150654331,3.27E-53
Cip2a,3.106165829,5.67E-53
Nsd1,-0.540820472,7.09E-53
Mob1a,1.447008924,7.73E-53
Arhgef26,1.61749088,8.04E-53
Nrf1,1.132017028,9.48E-53
LOC100360087,0.712720613,1.00E-52
Nol4l,-1.178391522,1.11E-52
Phlda1,2.222467287,1.30E-52
Map3k2,1.041285848,1.50E-52
Elp2,-0.87242336,2.23E-52
Pcsk5,1.846077068,2.68E-52
Lonp2,-0.725295628,3.23E-52
Taok2,-0.992913131,3.23E-52
S1pr1,5.338313788,3.61E-52
Pacsin1,-1.493783406,4.00E-52
Lonrf2,-0.56895031,4.24E-52
Bahcc1,-0.886760261,4.82E-52
Ranbp2,1.399032014,1.07E-51
Shroom4,2.054338021,1.09E-51
Tnc,1.907117926,1.26E-51
Stat3,0.985044463,2.30E-51
Slc20a1,1.484717271,3.17E-51
Itga3,-0.936938062,3.40E-51
Nrg1,1.793170291,3.69E-51
Pou3f2,1.526921509,4.66E-51
Rplp0,0.573122936,5.83E-51
Insr,-0.711333532,1.21E-50
Eprs,0.955991487,1.46E-50
Larp6,-1.005814773,2.09E-50
Pkn2,1.082287297,2.22E-50
Kdm7a,2.076478591,2.66E-50
Ppp2r5a,1.084485269,2.87E-50
Hs3st2,-0.89851107,3.19E-50
Ralgapa1,1.080184902,3.29E-50
Adcyap1r1,-0.710110957,3.39E-50
Zcchc12,1.030975188,3.56E-50
Mblac2,-1.170974471,4.97E-50
Zbtb21,0.965674487,5.19E-50
Tram1l1,-1.143550324,6.17E-50
Pcyox1l,-1.309552488,6.46E-50
Cry1,1.151374161,7.48E-50
Ppp2r5e,0.754083068,7.49E-50
Fzd1,1.256985541,8.10E-50
Rnd3,1.919611956,8.15E-50
Ypel2,1.685614085,9.74E-50
RGD1560212,0.71714959,1.27E-49
Slc25a37,2.679588499,1.27E-49
Fosb,7.271156256,1.48E-49
Tulp4,0.744638132,1.65E-49
Fbxo25,-1.082999936,1.90E-49
Usp53,1.657670227,1.95E-49
Akap1,-0.985805534,2.03E-49
Gcc1,1.040744586,2.27E-49
Epc1,0.731326987,2.28E-49
Tbl1xr1,-1.15333339,2.44E-49
Plxna2,-0.75187647,2.63E-49
G2e3,1.589478999,3.22E-49
AABR07047789.1,1.048334961,3.40E-49
Arfgap2,0.941446653,3.92E-49
Usp38,1.017325761,5.29E-49
Maf,1.494171474,7.22E-49
AABR07031399.1,1.583707024,8.53E-49
RGD1308706,1.499352878,1.17E-48
Jakmip1,-0.821377109,1.23E-48
LOC100909474,2.823202024,1.25E-48
Nap1l5,1.620547698,1.47E-48
Zim1,1.623640533,1.70E-48
Slc7a5,0.896911758,1.76E-48
Tec,1.895332035,1.87E-48
B3gnt7,-1.793297262,1.94E-48
Arhgef2,-1.14756587,2.62E-48
Gas6,-1.065637069,2.65E-48
Snn,-0.847005365,3.19E-48
Smim14,0.950477845,3.56E-48
Mgat3,-0.784601559,4.49E-48
Sprn,-1.138739182,4.76E-48
Sdcbp,1.331516846,5.13E-48
Tp53inp2,0.585834266,5.68E-48
Rmdn3,0.910336435,6.07E-48
Acad9,0.887700129,6.39E-48
Cyth1,-1.005999808,6.78E-48
Rapgef5,1.303713191,6.85E-48
Timp3,1.819940057,7.33E-48
Prss16,4.134412778,8.16E-48
Smurf1,-0.796651533,8.67E-48
Kcna3,1.269568581,9.77E-48
Phyhipl,0.839400101,1.12E-47
Afap1,-0.471496479,1.22E-47
Ptbp1,1.083959774,1.61E-47
Osbpl2,-0.822661593,1.86E-47
Csrnp1,4.227918199,3.26E-47
Atp10d,2.108009145,3.34E-47
Cxcl6,4.006741307,3.45E-47
Ednrb,2.817200956,4.60E-47
Chst12,-1.491246684,6.50E-47
Pbx2,-1.073621997,6.91E-47
Rpsa,0.577690523,7.58E-47
Eif5a,0.576662615,8.22E-47
NEWGENE_620180,2.993010002,8.25E-47
Kcnk13,1.633292263,8.64E-47
Fads3,-1.081499801,9.07E-47
Ier2,2.92767931,1.06E-46
RGD1306556,-0.872303992,1.19E-46
Psen2,-1.529696121,1.22E-46
Cyth3,-0.90072837,1.87E-46
Extl2,-1.179652372,2.10E-46
Cipc,-0.723556225,2.71E-46
Pawr,3.398960768,3.50E-46
Mex3b,0.885635252,4.25E-46
Foxg1,0.915573323,5.12E-46
Rd3l,2.456470731,5.20E-46
Kcnj4,1.173509162,5.55E-46
Cptp,-1.546198146,5.89E-46
Dkc1,1.282777526,7.02E-46
Spry4,1.868706372,7.19E-46
Sesn2,2.840195282,7.61E-46
Sirpa,-1.054735465,7.84E-46
Ss18l2,1.018861409,8.11E-46
Sowahc,1.071234093,9.16E-46
Slc22a3,-1.439238194,1.12E-45
Tnrc6b,-0.64268482,1.12E-45
Taf5l,0.931923499,1.28E-45
Abcb9,-1.263940718,1.51E-45
LOC100359583,0.82300395,1.68E-45
Rbm4,0.804671946,2.05E-45
Itsn1,0.667128919,2.24E-45
Foxk1,-1.04226402,2.32E-45
Kcng1,-1.376852125,3.09E-45
Slc43a2,-0.683599788,3.22E-45
Dgcr6,0.860990571,3.31E-45
Vps37b,0.913349234,4.97E-45
Palmd,1.499439322,5.42E-45
Jag1,1.879462872,6.34E-45
Sema4a,-1.112956649,7.70E-45
Phldb1,-0.877307089,8.66E-45
Fam124a,-1.361293938,9.90E-45
Nop53,0.949128387,1.05E-44
Casc3,0.657947652,1.61E-44
LOC680121,0.676551677,2.04E-44
Atxn2l,0.698549069,2.32E-44
Zcchc2,0.74049232,3.19E-44
Tk2,-1.080573508,3.26E-44
Bmt2,1.216426325,3.55E-44
Tpm4,1.500094126,3.63E-44
Mafk,1.119271294,4.22E-44
Fat4,1.180770194,4.77E-44
Adcy3,-0.849643889,5.59E-44
Tcim,3.71009025,7.02E-44
Lrig3,2.312922274,7.07E-44
Adamts1,4.247029095,7.27E-44
Rab3d,-0.831915708,7.51E-44
Bdp1,0.723700453,1.11E-43
Dnajb5,0.768880903,1.21E-43
Wwc1,-0.928614514,1.38E-43
LOC100911248,0.643021165,1.47E-43
Eif1b,0.951041207,1.60E-43
Gprin2,-1.440106523,1.66E-43
Bdnf,4.332396741,1.96E-43
Hsdl2,1.689366313,2.97E-43
AABR07064349.1,1.432272088,3.34E-43
Eepd1,1.153194767,4.30E-43
Gpat4,0.540854771,4.65E-43
Rhof,-0.815226763,6.62E-43
Slc7a4,-1.339546573,9.30E-43
Tmx4,1.30149757,9.35E-43
Maml1,1.127722214,1.34E-42
Paqr7,-2.044960469,1.42E-42
Osbpl5,-1.065059633,1.52E-42
Sin3a,-0.810386067,2.50E-42
Enah,0.600096482,2.56E-42
Tp53rk,1.399630679,3.17E-42
Mapk8ip2,-0.795530805,3.62E-42
Osgin2,1.343095795,3.92E-42
Apba2,-0.55310943,4.86E-42
Dgat1,1.04122374,5.58E-42
Xpo1,0.891090767,5.69E-42
Fam136a,-1.059215561,6.27E-42
Hmgb2,2.039432061,6.77E-42
Ldb1,-0.625990661,6.81E-42
Faim,1.496543974,7.77E-42
Rc3h1,0.80494202,8.46E-42
Lmcd1,1.9763386,9.09E-42
Neurl1b,-1.254856699,1.09E-41
Grem1,1.461149168,1.23E-41
Gprc5b,1.45645654,1.84E-41
Slc35c1,-0.821313557,2.34E-41
Ubl3,0.94516061,2.58E-41
Dnaaf2,1.291545078,2.66E-41
Lrrc24,-1.364560474,2.87E-41
Rgs12,-1.089655021,2.87E-41
Stmn4,0.853583719,2.93E-41
Lrrc3,-1.993833162,3.11E-41
Pkp4,0.485711714,3.74E-41
Anp32e,1.016899274,4.58E-41
Zbtb5,-0.771097065,5.03E-41
LOC688655,0.676235842,5.73E-41
Srsf1,-0.506850012,5.73E-41
Rbm4b,0.83043636,5.90E-41
Lrrc8a,0.78664333,7.81E-41
Arid1a,-0.551950334,8.00E-41
Cdc42se2,0.716894756,8.02E-41
Rtn4rl1,-0.996872871,8.46E-41
Mief2,-1.114104106,9.82E-41
Arrdc4,-1.346943243,9.82E-41
Dhx57,-0.734929442,1.11E-40
Tbc1d13,-0.900419504,1.27E-40
Alkbh5,0.843391581,2.54E-40
Naf1,1.040748081,3.17E-40
Chp1,0.631069183,3.40E-40
Ube2h,0.674143499,3.77E-40
Sugp2,-0.534561485,4.11E-40
Hspa8,0.657149855,5.81E-40
Tnks,0.498901102,5.86E-40
Bach2,0.635536919,6.28E-40
Trim3,-0.6977442,7.76E-40
AABR07048992.1,0.685328062,9.97E-40
Plekha5,0.774353041,1.25E-39
Brinp2,0.75161944,1.30E-39
Csk,-0.915681649,1.46E-39
Foxn3,0.895867349,1.59E-39
Cog1,-0.959821889,2.04E-39
Eif1,0.966002073,2.18E-39
Sh3bp5,-0.798466056,2.25E-39
Kmt2e,-0.614931658,2.99E-39
Rps3,0.464686686,3.07E-39
Ap5b1,-1.396504997,3.08E-39
Fam126b,1.271733708,3.08E-39
Prdm11,-0.897802531,3.66E-39
Cmpk2,-1.781363772,4.09E-39
Elp5,0.923403651,4.73E-39
Rhobtb3,1.366277197,5.01E-39
Fbxo3,-1.000762682,5.16E-39
Mest,2.105686666,6.16E-39
Cyp51,0.718392399,6.19E-39
Cpeb4,0.682420841,6.28E-39
Sphk1,5.143779755,6.37E-39
Slc2a6,-0.98334188,9.13E-39
Per2,1.045026868,1.26E-38
Ptp4a1,1.000485034,1.28E-38
Hdac9,0.98982312,1.48E-38
Mcart1,-0.654176956,1.68E-38
Rfx7,-0.830305492,1.90E-38
Nid2,1.555714594,2.03E-38
Srsf5,0.631177833,2.20E-38
Slc30a4,0.833686618,2.29E-38
Pomk,-0.816553443,2.36E-38
Tmem200c,-1.81107467,2.56E-38
AC131483.1,3.7690966,2.64E-38
AABR07069219.1,-1.484222766,2.78E-38
Drg1,-0.834679902,2.92E-38
Plxnc1,0.776091611,2.97E-38
Pcdh20,1.663402148,3.07E-38
Kdm4a,-0.561121572,3.13E-38
Ip6k2,0.668649348,3.28E-38
Snap47,-1.273929693,3.33E-38
Pknox2,0.680776336,3.51E-38
Clk1,1.5018215,3.62E-38
Rps17,0.566801303,5.07E-38
Nfil3,2.559019778,7.93E-38
Anapc4,-1.026600983,8.19E-38
LOC688932,0.669183594,1.01E-37
AABR07012054.1,1.086431692,1.36E-37
Adgrl2,0.74980475,1.38E-37
AC130232.2,1.798561608,1.42E-37
Rusc2,-0.69698958,1.59E-37
Pou3f3,1.271372252,1.65E-37
Camsap3,-0.790136851,1.68E-37
Itpkb,-0.950193686,1.69E-37
Sdc4,4.547676426,1.84E-37
Rps2,0.650012295,2.27E-37
RGD1308601,0.899646892,2.50E-37
Scg3,0.552476251,2.73E-37
Klhl15,1.383709821,2.89E-37
Ddx42,-0.633788836,2.95E-37
Tmem132e,-1.731178313,2.96E-37
Slc23a2,0.620206612,2.99E-37
Vasp,1.150516677,3.09E-37
Bhlhe23,2.474851951,3.14E-37
Ube2n,0.778064896,3.28E-37
Siah2,0.857745899,4.08E-37
Dlg1,1.155470902,5.26E-37
Hmgcr,0.641598357,5.40E-37
Plekha6,-0.658245912,8.71E-37
Tent5a,2.833163991,9.25E-37
Adora1,0.656578405,9.71E-37
Tspan31,1.024436258,1.13E-36
Armc10,-1.022994111,1.23E-36
Zbtb11,0.636475172,1.24E-36
Map1lc3a,0.634994147,1.34E-36
Nfkb1,1.230665258,1.75E-36
Rpl21,0.589014913,1.89E-36
LOC108348049,1.184064059,1.95E-36
Syt16,-0.800248856,2.03E-36
Rel,2.014721512,2.68E-36
C1galt1,1.688505314,3.05E-36
Vash1,-0.748253318,3.11E-36
Arc,4.126423305,3.29E-36
Disp2,-0.462444306,3.67E-36
Mdc1,-1.421181576,4.13E-36
Edem1,-1.108062502,4.16E-36
Msl2,0.892875026,4.68E-36
Zfp385a,-0.950139219,5.99E-36
Hs1bp3,-1.961655627,6.25E-36
Gpr162,-0.943637115,6.39E-36
Fgd6,1.98648787,6.51E-36
Tnfaip6,2.659023561,8.19E-36
Hbs1l,0.482114665,8.32E-36
Kcnc4,-1.304089114,8.81E-36
St3gal1,-0.865512494,9.42E-36
Eftud2,-0.69320319,9.63E-36
AABR07066818.1,0.592255024,9.82E-36
Ythdc1,0.877279564,1.01E-35
Rpl37a,0.510027842,1.13E-35
Gpr22,1.346657047,1.32E-35
Man1a1,1.660659662,1.81E-35
Ccdc88c,0.86350494,1.97E-35
Camkk1,-0.944624279,2.01E-35
LOC103690024,1.424807438,2.20E-35
Hes1,1.806603453,2.30E-35
Sptbn1,0.429574309,2.53E-35
Abhd1,1.160843764,2.58E-35
Meis2,1.195814968,3.16E-35
AABR07021988.1,0.490055034,3.41E-35
Pex5,1.426668774,3.96E-35
Dusp14,2.059958202,4.16E-35
Dlx1,1.526284379,4.63E-35
Adam10,-0.884108945,4.71E-35
Rassf8,1.69781733,4.73E-35
Herc3,-0.746212187,4.76E-35
Trim46,-0.769188668,5.68E-35
