Gene.name,log2FoldChange,padj
Ppp1r15a,2.661076106,0
Tiparp,3.978647271,0
Slc16a1,3.334401293,0
Egr4,3.77778596,0
Nr4a3,2.445162794,0
Ifrd1,2.347261697,0
Nr4a1,4.810331461,0
Btg2,5.12770288,0
Cwc25,3.016528008,0
Arhgef3,4.573455437,0
Peg3,1.394500469,1.16E-300
Fam107b,3.304491839,8.47E-297
Npas4,7.234951148,6.46E-277
Heca,2.129288395,9.79E-270
Nol4,1.758169565,5.52E-256
Btbd8,2.126448851,2.36E-252
Chac1,2.88988799,7.18E-249
Pim1,3.445332733,1.95E-240
Inhba,3.763526672,4.29E-235
Fbxo33,2.667367196,3.26E-228
Arl5b,2.472224215,1.80E-223
Ppp1r12a,1.726457529,3.67E-223
Man1b1,1.378382079,5.86E-220
Cry2,1.840940744,5.41E-216
Ccn1,6.247501043,8.85E-214
Junb,4.538469409,1.84E-212
Ubn1,1.710463286,7.84E-210
Errfi1,3.157570754,1.67E-204
Ell2,2.547648121,2.36E-199
Sat1,2.984257474,2.42E-198
Slc1a4,1.404710212,2.94E-196
Spry1,2.978789841,2.74E-190
Atf4,1.218818579,1.36E-189
AABR07063279.1,1.58538753,2.77E-189
Akirin1,1.920388209,3.82E-189
Chrne,3.134497317,5.52E-182
Cep135,2.383622289,1.37E-177
Erf,2.35803367,3.74E-173
Chd2,1.519348438,3.73E-170
Zdbf2,2.89487666,2.87E-169
Zhx2,2.73700217,2.69E-168
Pmaip1,4.172013866,4.53E-168
Impdh2,2.240875615,7.01E-168
Trib1,2.282458569,7.41E-167
Emd,2.158426466,1.82E-164
Slc7a1,1.344117704,5.36E-162
Hspa4l,1.858492691,1.28E-160
Zc3h12c,1.888276123,1.71E-160
Nr4a2,2.653170202,3.49E-159
Zfp703,1.679623128,7.03E-159
Spty2d1,3.073721223,8.56E-159
Gadd45b,4.023620004,1.02E-156
Klf5,3.21589341,1.02E-156
Samd4a,2.812868753,4.05E-152
Jund,1.795199122,9.28E-152
Ptx3,4.913478,3.16E-150
AABR07068285.2,1.772117561,5.11E-150
Btaf1,1.470220206,6.20E-146
Parm1,2.463461582,6.56E-146
Mbnl2,2.101720037,3.36E-144
Aacs,-1.512949939,4.24E-144
Tmem167b,2.131225524,4.06E-143
Usp36,1.560999183,4.06E-143
Rbm14,1.745359651,1.96E-141
Lrrn2,-1.669189389,1.81E-140
Purb,1.393289228,2.00E-137
Pip5k1a,1.402888542,6.54E-137
Pnma2,-1.326033872,4.85E-136
Nup98,1.23911321,9.24E-135
Rasd1,3.077375071,2.59E-134
Ano6,1.774442752,6.82E-134
Zrsr1,1.493354646,1.26E-133
Arl4d,1.754946043,1.76E-133
Etv3,1.460019297,1.53E-131
Kcns2,2.81561495,1.92E-131
Irs2,2.018106642,1.47E-127
Mapk4,1.3126618,4.08E-127
Pcdh8,3.354381332,2.51E-125
Fam160a2,1.011215879,2.69E-125
Clcn5,2.498331483,5.48E-125
Impact,1.739367604,8.41E-125
Nfxl1,1.808889881,8.96E-125
Fos,5.939680506,2.16E-122
Wdr45b,1.894254618,1.06E-120
Man2a1,1.942068517,2.12E-120
Fosl2,3.722324286,2.74E-120
Fam217b,-1.544949618,7.85E-120
Rgs16,2.632141928,2.09E-119
H3f3a,1.282904168,2.57E-119
Gpr19,2.046005429,5.06E-119
Herpud1,1.309880295,1.91E-118
Acot2,2.86040304,6.93E-118
Dlg3,-1.242427957,2.78E-117
Pcdh18,2.251948771,6.00E-117
Rap2a,0.999246111,3.44E-115
Plagl1,2.59208327,2.62E-113
Lrrc8b,1.012319544,6.79E-113
Fbxw7,1.272716311,1.34E-112
Tbc1d9,1.10262207,5.23E-112
Kcnf1,1.758130275,8.35E-112
Bmp2,2.730045664,2.07E-111
Klf9,1.871906568,3.35E-110
Oaz1,1.022797501,3.72E-110
Gfod1,1.916950131,7.92E-110
Ppp1r15b,1.044024549,1.59E-109
Gmeb2,2.12092311,2.50E-109
Agtr1a,3.985010257,4.24E-108
B630019K06Rik,3.226553531,2.48E-106
Nedd9,2.263445134,2.48E-106
Baz2b,1.445188729,6.09E-106
Dot1l,1.871697607,3.35E-105
Jarid2,1.078688239,8.57E-105
Birc2,1.298504751,1.42E-104
AABR07039210.2,1.432186808,4.10E-104
Plk2,1.35369067,7.00E-104
Homer1,1.529971211,7.98E-104
Smarca2,-0.957977054,1.05E-103
Tpt1,1.020762384,1.06E-103
Sox9,5.713466634,1.42E-103
Pcdh10,1.347618984,2.90E-103
Slc2a1,2.718392639,6.76E-103
P4ha1,1.650371131,3.14E-102
Ddit4,1.433363436,1.84E-101
RGD1310352,1.492393775,1.06E-100
RGD1564664,1.91488661,1.31E-100
Lratd1,1.866751978,1.95E-100
Chd9,1.260451804,2.00E-100
Lrrc75b,-1.196463194,3.43E-100
Acvr1b,-0.828851709,1.11E-99
Slc19a2,1.851128989,1.21E-99
Elovl5,1.47955144,1.45E-99
Armcx4,1.167470899,2.19E-99
Nfkbia,2.081793308,5.57E-99
Btg1,1.815254589,1.56E-98
Pnrc1,1.316850461,2.96E-98
LOC108348175,2.20601193,1.28E-97
Ntsr1,-2.063212908,2.23E-97
Gla,1.893741431,5.31E-97
Sik1,3.043636274,2.04E-96
Ctnnd1,1.055211604,2.50E-96
Lzts1,-0.99534242,2.24E-95
Fam43a,2.864565127,5.21E-95
Slc25a25,0.973855294,2.82E-94
Ubtf,-0.985936828,9.86E-94
Rgs2,3.835837626,1.43E-93
Cables1,1.542657834,1.48E-93
Psph,1.42993267,2.09E-93
Kdm2a,1.142310268,2.50E-93
Adrb1,2.048827433,3.07E-93
LOC100909595,1.675445302,4.09E-93
Rfxap,1.396707963,8.05E-93
Egr2,4.45781628,1.52E-92
Sgk1,1.853732318,2.77E-92
Pgap4,-1.193657182,5.74E-92
LRRTM1,1.303863826,1.11E-91
Samd4b,1.148367,6.12E-91
Cebpb,2.791073886,7.95E-91
Klf4,4.706299183,1.04E-90
Mxd4,-1.63194522,1.15E-90
Rfxapl1,1.392491769,1.41E-90
Cep68,-1.804575054,1.38E-89
Tet2,1.038222191,1.94E-89
Stc2,2.662032105,2.16E-89
Hspa12a,-1.104606305,1.39E-88
Cul4a,-1.082030629,1.52E-88
Atp1a1,1.064010947,3.06E-88
Arid3a,1.826659182,4.60E-88
Irf1,3.921427404,4.75E-87
Egr1,2.189482456,1.10E-86
Sik2,1.341888228,1.42E-86
Cep85l,1.543419588,4.44E-86
Atg16l1,1.31131848,4.48E-86
Mthfd2,1.712549871,7.33E-86
Marchf11,2.150767632,7.71E-86
Tmem179,-1.449556573,8.49E-86
Zc3h4,-1.276861827,9.35E-86
Lrrc4,1.390589947,1.69E-85
Fam13c,1.223569643,7.08E-85
Nrn1,1.704771889,7.27E-85
Gins2,-2.208307505,2.07E-84
Peak1,2.026173207,2.32E-84
RGD1559896,-1.058673828,3.49E-83
