Kinase,Score,Rank,Method,Perc,Qrt,group,KinaseFamily,subfamily,hgnc_symbol
PTK2,18.055555555555557,5,PTM-SEA,0.8181818181818182,4,TK,FAK,FAK,PTK2
MAP2K7,0,13,PTM-SEA,0,1,STE,STE7,MEK7,MAP2K7
JAK2,-8.808624068659006,7,PTM-SEA,0.7575757575757576,4,TK,JAKA,JAKA,JAK2
MAP3K6,0,13,PTM-SEA,0,1,STE,STE11,ASK,MAP3K6
ABL1,0,13,PTM-SEA,0,1,TK,ABL,ABL,ABL1
EGFR,-23.474529155507778,2,PTM-SEA,0.9696969696969697,4,TK,EGFR,EGFR,EGFR
INSR,-3.9823565119451825,11,PTM-SEA,0.6060606060606061,3,TK,INSR,INSR,INSR
LCK,0,13,PTM-SEA,0,1,TK,SRC,SRCB,LCK
FYN,27.24145090796482,1,PTM-SEA,1,4,TK,SRC,SRCA,FYN
YES1,0,13,PTM-SEA,0,1,TK,SRC,SRCA,YES1
LYN,0,13,PTM-SEA,0,1,TK,SRC,SRCB,LYN
RET,11.804873256347566,6,PTM-SEA,0.7878787878787878,4,TK,RET,RET,RET
MET,18.055555555555557,5,PTM-SEA,0.8181818181818182,4,TK,MET,MET,MET
HCK,-7.443996980902083,9,PTM-SEA,0.6666666666666666,3,TK,SRC,SRCB,HCK
PDGFRB,0,13,PTM-SEA,0,1,TK,PDGFR,PDGFR,PDGFRB
FGR,0,13,PTM-SEA,0,1,TK,SRC,SRCA,FGR
SRC,19.9196858126166,4,PTM-SEA,0.9090909090909091,4,TK,SRC,SRCA,SRC
FLT1,-2.6733494323924454,12,PTM-SEA,0.5757575757575758,3,TK,VEGFR,VEGFR,FLT1
KDR,0,13,PTM-SEA,0,1,TK,VEGFR,VEGFR,KDR
MAP2K2,0,13,PTM-SEA,0,1,STE,STE7,MEK1,MAP2K2
CSK,0,13,PTM-SEA,0,1,TK,CSK,CSK,CSK
MATK,0,13,PTM-SEA,0,1,TK,CSK,CSK,MATK
ZAP70,-7.443996980902083,9,PTM-SEA,0.6666666666666666,3,TK,SYK,SYK,ZAP70
SYK,0,13,PTM-SEA,0,1,TK,SYK,SYK,SYK
MAP2K4,-4.174364509176365,10,PTM-SEA,0.6363636363636364,3,STE,STE7,MEK4,MAP2K4
MAP2K3,0,13,PTM-SEA,0,1,STE,STE7,MEK3,MAP2K3
BMX,18.055555555555557,5,PTM-SEA,0.8181818181818182,4,TK,TEC,TEC,BMX
MAP2K6,0,13,PTM-SEA,0,1,STE,STE7,MEK3,MAP2K6
EPHA4,0,13,PTM-SEA,0,1,TK,EPH,EPH,EPHA4
MAP2K1,-8.288405363599704,8,PTM-SEA,0.7272727272727273,3,STE,STE7,MEK1,MAP2K1
ITK,-20.08688868672099,3,PTM-SEA,0.9393939393939394,4,TK,TEC,TEC,ITK
DYRK1A,0,13,PTM-SEA,0,1,CMGC,DYRK,DYRK1,DYRK1A
MAP3K5,0,13,PTM-SEA,0,1,STE,STE11,ASK,MAP3K5
ALK,0,13,PTM-SEA,0,1,TK,ALK,ALK,ALK
AAK1,311,274,KEA3,0.06285714285714286,1,OTHER,NAK,BIKE,AAK1
ABL1,48.33333333333333,31,KEA3,0.9085714285714286,4,TK,ABL,ABL,ABL1
ABL2,110.66666666666667,111,KEA3,0.6285714285714286,3,TK,ABL,ABL,ABL2
ACVR1,136.5,147,KEA3,0.48857142857142855,2,TKL,STKR,TYPE1,ACVR1
ACVR1B,218.5,212,KEA3,0.2542857142857143,2,TKL,STKR,TYPE1,ACVR1B
ACVR2B,21,11,KEA3,0.9714285714285714,4,TKL,STKR,TYPE2,ACVR2B
