Kinase,Score,Rank,Method,Perc,Qrt,group,KinaseFamily,subfamily,hgnc_symbol
PTK2,4.642857142857142,11,PTM-SEA,0.6060606060606061,3,TK,FAK,FAK,PTK2
MAP2K7,0,13,PTM-SEA,0,1,STE,STE7,MEK7,MAP2K7
JAK2,9.090958591874998,9,PTM-SEA,0.7272727272727273,3,TK,JAKA,JAKA,JAK2
MAP3K6,0,13,PTM-SEA,0,1,STE,STE11,ASK,MAP3K6
ABL1,0,13,PTM-SEA,0,1,TK,ABL,ABL,ABL1
EGFR,-24.785910207646207,2,PTM-SEA,0.9696969696969697,4,TK,EGFR,EGFR,EGFR
INSR,-17.644841964124485,6,PTM-SEA,0.8181818181818182,4,TK,INSR,INSR,INSR
LCK,0,13,PTM-SEA,0,1,TK,SRC,SRCB,LCK
FYN,27.1618459127452,1,PTM-SEA,1,4,TK,SRC,SRCA,FYN
YES1,0,13,PTM-SEA,0,1,TK,SRC,SRCA,YES1
LYN,0,13,PTM-SEA,0,1,TK,SRC,SRCB,LYN
RET,-9.114642859967116,8,PTM-SEA,0.7575757575757576,4,TK,RET,RET,RET
MET,4.642857142857142,11,PTM-SEA,0.6060606060606061,3,TK,MET,MET,MET
HCK,-20.78514020954446,4,PTM-SEA,0.8787878787878788,4,TK,SRC,SRCB,HCK
PDGFRB,0,13,PTM-SEA,0,1,TK,PDGFR,PDGFR,PDGFRB
FGR,0,13,PTM-SEA,0,1,TK,SRC,SRCA,FGR
SRC,-21.233365991221763,3,PTM-SEA,0.9393939393939394,4,TK,SRC,SRCA,SRC
FLT1,6.247393700770316,10,PTM-SEA,0.696969696969697,3,TK,VEGFR,VEGFR,FLT1
KDR,0,13,PTM-SEA,0,1,TK,VEGFR,VEGFR,KDR
MAP2K2,0,13,PTM-SEA,0,1,STE,STE7,MEK1,MAP2K2
CSK,0,13,PTM-SEA,0,1,TK,CSK,CSK,CSK
MATK,0,13,PTM-SEA,0,1,TK,CSK,CSK,MATK
ZAP70,-20.78514020954446,4,PTM-SEA,0.8787878787878788,4,TK,SYK,SYK,ZAP70
SYK,0,13,PTM-SEA,0,1,TK,SYK,SYK,SYK
MAP2K4,-20.607235815801875,5,PTM-SEA,0.8484848484848485,4,STE,STE7,MEK4,MAP2K4
MAP2K3,0,13,PTM-SEA,0,1,STE,STE7,MEK3,MAP2K3
BMX,4.642857142857142,11,PTM-SEA,0.6060606060606061,3,TK,TEC,TEC,BMX
MAP2K6,0,13,PTM-SEA,0,1,STE,STE7,MEK3,MAP2K6
EPHA4,0,13,PTM-SEA,0,1,TK,EPH,EPH,EPHA4
MAP2K1,-3.0085902156327946,12,PTM-SEA,0.5757575757575758,3,STE,STE7,MEK1,MAP2K1
ITK,-13.047830089082481,7,PTM-SEA,0.7878787878787878,4,TK,TEC,TEC,ITK
DYRK1A,0,13,PTM-SEA,0,1,CMGC,DYRK,DYRK1,DYRK1A
MAP3K5,0,13,PTM-SEA,0,1,STE,STE11,ASK,MAP3K5
ALK,0,13,PTM-SEA,0,1,TK,ALK,ALK,ALK
AAK1,304,268,KEA3,0.08,1,OTHER,NAK,BIKE,AAK1
ABL1,23.666666666666664,6,KEA3,0.9857142857142858,4,TK,ABL,ABL,ABL1
ABL2,94,93,KEA3,0.68,3,TK,ABL,ABL,ABL2
ACVR1,127,132,KEA3,0.5428571428571428,3,TKL,STKR,TYPE1,ACVR1
ACVR1B,212.5,219,KEA3,0.24857142857142858,1,TKL,STKR,TYPE1,ACVR1B
ACVR2B,8,2,KEA3,0.9971428571428571,4,TKL,STKR,TYPE2,ACVR2B
AKT1,75.66666666666667,61,KEA3,0.7914285714285715,4,AGC,AKT,AKT,AKT1
AKT2,86.66666666666667,80,KEA3,0.7314285714285714,3,AGC,AKT,AKT,AKT2
AKT3,192,199,KEA3,0.3142857142857143,2,AGC,AKT,AKT,AKT3
ALK,26.5,9,KEA3,0.9742857142857143,4,TK,ALK,ALK,ALK
ARAF,45.5,23,KEA3,0.92,4,TKL,RAF,RAF,ARAF
ATM,91.66666666666667,87,KEA3,0.7057142857142857,3,ATYPICAL,PIKK,ATM,ATM
ATR,81,70,KEA3,0.76,4,ATYPICAL,PIKK,ATR,ATR
AURKA,96.33333333333333,96,KEA3,0.6685714285714286,3,OTHER,AUR,AUR,AURKA
AURKB,58,43,KEA3,0.8571428571428571,4,OTHER,AUR,AUR,AURKB
AURKC,185,189,KEA3,0.3457142857142857,2,OTHER,AUR,AUR,AURKC
AXL,125.5,130,KEA3,0.5485714285714286,3,TK,AXL,AXL,AXL
BLK,260,254,KEA3,0.12,1,TK,SRC,SRCB,BLK
BMP2K,327,286,KEA3,0.02857142857142857,1,OTHER,NAK,BIKE,BMP2K
BMPR1A,156.5,163,KEA3,0.4342857142857143,2,TKL,STKR,TYPE1,BMPR1A
BMPR1B,100,99,KEA3,0.6571428571428571,3,TKL,STKR,TYPE1,BMPR1B
BMPR2,189,193,KEA3,0.3314285714285714,2,TKL,STKR,TYPE2,BMPR2
BMX,87,81,KEA3,0.7228571428571429,3,TK,TEC,TEC,BMX
BRAF,142,147,KEA3,0.49714285714285716,2,TKL,RAF,RAF,BRAF
BRSK1,224,227,KEA3,0.21714285714285714,1,CAMK,CAMKL,BRSK,BRSK1
BRSK2,310,274,KEA3,0.06285714285714286,1,CAMK,CAMKL,BRSK,BRSK2
BTK,93,90,KEA3,0.6885714285714286,3,TK,TEC,TEC,BTK
BUB1,172.5,175,KEA3,0.39714285714285713,2,OTHER,BUB,BUB,BUB1
CAMK1,191,196,KEA3,0.32285714285714284,2,CAMK,CAMK1,CAMK1,CAMK1
CAMK1D,248,245,KEA3,0.15142857142857144,1,CAMK,CAMK1,CAMK1,CAMK1D
CAMK2A,102.66666666666667,103,KEA3,0.6428571428571429,3,CAMK,CAMK2,CAMK2,CAMK2A
CAMK2B,237,236,KEA3,0.18,1,CAMK,CAMK2,CAMK2,CAMK2B
CAMK2D,123.66666666666667,127,KEA3,0.56,3,CAMK,CAMK2,CAMK2,CAMK2D
CAMK2G,41,20,KEA3,0.9371428571428572,4,CAMK,CAMK2,CAMK2,CAMK2G
CAMK4,132.33333333333334,138,KEA3,0.5228571428571429,3,CAMK,CAMK1,CAMK1,CAMK4
CAMKK1,142.66666666666666,149,KEA3,0.49142857142857144,2,OTHER,CAMKK,META,CAMKK1
CAMKK2,214,221,KEA3,0.23714285714285716,1,OTHER,CAMKK,META,CAMKK2
CDC42BPA,291,260,KEA3,0.10285714285714286,1,AGC,DMPK,GEK,CDC42BPA
CDC7,195.5,204,KEA3,0.3,2,OTHER,CDC7,CDC7,CDC7
CDK1,93.5,91,KEA3,0.6857142857142857,3,CMGC,CDK,CDC2,CDK1
CDK11A,210,216,KEA3,0.2571428571428571,2,CMGC,CDK,CDK11,CDK11A
CDK11A,210,216,KEA3,0.2571428571428571,2,NA,NA,NA,CDK11A
CDK12,219,223,KEA3,0.23142857142857143,1,CMGC,CDK,CRK7,CDK12
CDK15,182,186,KEA3,0.35428571428571426,2,CMGC,CDK,PFTAIRE,CDK15
CDK16,45,22,KEA3,0.9228571428571428,4,CMGC,CDK,PCTAIRE,CDK16
CDK18,279,257,KEA3,0.11142857142857143,1,CMGC,CDK,PCTAIRE,CDK18
