Kinase,Score,Rank,Method,Perc,Qrt,group,KinaseFamily,subfamily,hgnc_symbol
PTK2,21.150793650793652,3,PTM-SEA,0.8787878787878788,4,TK,FAK,FAK,PTK2
MAP2K7,0,13,PTM-SEA,0,1,STE,STE7,MEK7,MAP2K7
JAK2,-11.547761155234397,7,PTM-SEA,0.7575757575757576,4,TK,JAKA,JAKA,JAK2
MAP3K6,0,13,PTM-SEA,0,1,STE,STE11,ASK,MAP3K6
ABL1,0,13,PTM-SEA,0,1,TK,ABL,ABL,ABL1
EGFR,-17.986883744427086,4,PTM-SEA,0.8484848484848485,4,TK,EGFR,EGFR,EGFR
INSR,4.93454652526969,12,PTM-SEA,0.5757575757575758,3,TK,INSR,INSR,INSR
LCK,0,13,PTM-SEA,0,1,TK,SRC,SRCB,LCK
FYN,28.171156075297553,1,PTM-SEA,1,4,TK,SRC,SRCA,FYN
YES1,0,13,PTM-SEA,0,1,TK,SRC,SRCA,YES1
LYN,0,13,PTM-SEA,0,1,TK,SRC,SRCB,LYN
RET,10.532544496289031,8,PTM-SEA,0.7272727272727273,3,TK,RET,RET,RET
MET,21.150793650793652,3,PTM-SEA,0.8787878787878788,4,TK,MET,MET,MET
HCK,-10.102827856645623,9,PTM-SEA,0.6666666666666666,3,TK,SRC,SRCB,HCK
PDGFRB,0,13,PTM-SEA,0,1,TK,PDGFR,PDGFR,PDGFRB
FGR,0,13,PTM-SEA,0,1,TK,SRC,SRCA,FGR
SRC,9.398265230224641,10,PTM-SEA,0.6363636363636364,3,TK,SRC,SRCA,SRC
FLT1,24.561837584626048,2,PTM-SEA,0.9696969696969697,4,TK,VEGFR,VEGFR,FLT1
KDR,0,13,PTM-SEA,0,1,TK,VEGFR,VEGFR,KDR
MAP2K2,0,13,PTM-SEA,0,1,STE,STE7,MEK1,MAP2K2
CSK,0,13,PTM-SEA,0,1,TK,CSK,CSK,CSK
MATK,0,13,PTM-SEA,0,1,TK,CSK,CSK,MATK
ZAP70,-10.102827856645623,9,PTM-SEA,0.6666666666666666,3,TK,SYK,SYK,ZAP70
SYK,0,13,PTM-SEA,0,1,TK,SYK,SYK,SYK
