"Symbol","logFC","PValue"
"CYP1A1",5.09747036537555,1.27147889152006e-13
"ECT2",1.8498562078594,9.16118981711613e-13
"CENPA",1.52469407765281,4.13124859163587e-12
"CCNG2",1.83440842535322,4.51541978811049e-12
"JMJD4",-1.59745795379074,4.60717836020021e-12
"ASMER1",2.25808775681981,8.17581488446254e-12
"RAB17",1.22588996006469,8.96543299441693e-12
"AMPD2",1.4182003302253,1.05595671686401e-11
"TTK",1.53894253818471,1.28663947668086e-11
"ANLN",1.08534509495325,1.53952208257494e-11
"BIRC5",1.09855558027228,2.12591180537024e-11
"XRN1",1.58539184031577,3.12007835237571e-11
"ENSG00000272405",-1.90651141513309,4.60422448721084e-11
"ENSG00000268858",-1.38843804112904,4.61050532848917e-11
"ZBTB38",1.33610320979051,5.35096448678404e-11
"ENSG00000290729",2.22899750808073,6.072899419532e-11
"BUB1",0.992027142439979,8.22080602533823e-11
"KIF11",1.12995433346635,9.88428667674499e-11
"C1RL",-1.05829416613432,1.02154837713237e-10
"DDX3Y",1.0859868693135,1.0818791829792e-10
"TPX2",0.968178122275622,1.10373931431614e-10
"FAXDC2",1.61884221281688,1.21348148273928e-10
"DNHD1",-1.94882542668825,1.32287582278758e-10
"PDE4D",1.2462858017688,1.39126580829854e-10
"CYP4V2",-1.32567140251193,1.39409676960456e-10
"CCNB2",1.1782206997377,1.52254125407493e-10
"DLGAP5",1.20426685703033,1.69910034323039e-10
"INSIG2",1.37790695027738,1.851741946569e-10
"BCAN-AS2",-2.15248776483358,1.90280408855902e-10
"AGBL2",-2.46852844122434,1.99556211444729e-10
"KDM7A",1.27299904250842,2.28952891452482e-10
"FBF1",-1.71650199270971,2.30218291657546e-10
"TOP2A",1.13968738696612,2.37530627163826e-10
"PLCXD1",1.02533629395743,2.38234511618824e-10
"PTTG1",1.13791834078383,2.44030920976921e-10
"EPG5",1.05063621054468,2.53312638413181e-10
"LOC105376177",-2.142147199384,2.70846133486695e-10
"TMEM263",0.933420808389233,2.82451274221345e-10
"NCAPD2",0.895148338519138,3.07006324429342e-10
"PRC1",0.993583334017031,3.09465838503014e-10
"KIF20A",1.24741040701674,3.38524955629687e-10
"GATD1-DT",-1.28462012914704,3.53658428373407e-10
"CCNG1",0.926617690222431,3.7348061356925e-10
"SEC24D",1.00161698873249,3.91385567950759e-10
"NDEL1",0.90652127823382,3.93860819434494e-10
"KIF2C",0.945904400442329,4.54428610724517e-10
"SLC19A2",1.14003705493441,4.80320146889924e-10
"BUB1B",0.946652198575838,4.91800265366869e-10
"SGK1",1.43863854904079,5.19129828163965e-10
"UBE2C",0.923806943591248,5.22794959529141e-10
"PPP6R3",0.962767482508013,5.28122463241821e-10
"G2E3",1.04854799027798,5.40597622904005e-10
"CDC45",-1.51137370504407,5.62759730778839e-10
"NEK2",1.059084742992,5.67365785023154e-10
"HAGLR",0.982236371391729,6.09683672632823e-10
"APAF1",1.10478461065684,6.22225954967075e-10
"FAM86B3P",-1.88770678164434,6.4501495443092e-10
"ZBTB44",0.815751110757152,6.5993901030805e-10
"EEF2KMT",-1.11514620955322,7.60255990603416e-10
"PRR11",1.35528105134573,7.69180584795727e-10
"AURKA",0.870694690630947,7.81655344737217e-10
"LOC105372738",4.26044952496179,8.44100315118167e-10
"STK26",1.03217105955338,8.71017882932359e-10
"TP53INP1",1.60537975149801,8.82694106984305e-10
"PCED1A",-1.18681774409856,8.88645859509329e-10
